date,timestamp_utc,Exchange Inflow (Top10)
2020-03-17,2020-03-17T00:00:00Z,20143687.079295
2020-03-18,2020-03-18T00:00:00Z,13790008.8509
2020-03-19,2020-03-19T00:00:00Z,29301746.066427
2020-03-20,2020-03-20T00:00:00Z,25215213.408528
2020-03-21,2020-03-21T00:00:00Z,7657591.788696
2020-03-22,2020-03-22T00:00:00Z,18632766.412538
2020-03-23,2020-03-23T00:00:00Z,15378721.661461
2020-03-24,2020-03-24T00:00:00Z,20633304.823827
2020-03-25,2020-03-25T00:00:00Z,24022422.901672
2020-03-26,2020-03-26T00:00:00Z,15489939.130904
2020-03-27,2020-03-27T00:00:00Z,16031525.205659
2020-03-28,2020-03-28T00:00:00Z,17030706.105157
2020-03-29,2020-03-29T00:00:00Z,6818298.268837
2020-03-30,2020-03-30T00:00:00Z,24734378.416044
2020-03-31,2020-03-31T00:00:00Z,17430561.465105
2020-04-01,2020-04-01T00:00:00Z,10152202.933859
2020-04-02,2020-04-02T00:00:00Z,24061117.3345
2020-04-03,2020-04-03T00:00:00Z,17077536.830628
2020-04-04,2020-04-04T00:00:00Z,4991374.471219
2020-04-05,2020-04-05T00:00:00Z,5569762.903627
2020-04-06,2020-04-06T00:00:00Z,10746799.421021
2020-04-07,2020-04-07T00:00:00Z,15557999.5168
2020-04-08,2020-04-08T00:00:00Z,12985350.4788
2020-04-09,2020-04-09T00:00:00Z,10244075.918128
2020-04-10,2020-04-10T00:00:00Z,29276740.444588
2020-04-11,2020-04-11T00:00:00Z,18156930.715947
2020-04-12,2020-04-12T00:00:00Z,20580772.669712
2020-04-13,2020-04-13T00:00:00Z,19043113.365302
2020-04-14,2020-04-14T00:00:00Z,16070572.980152
2020-04-15,2020-04-15T00:00:00Z,11929925.033017
2020-04-16,2020-04-16T00:00:00Z,18959752.208249
2020-04-17,2020-04-17T00:00:00Z,15520909.854307
2020-04-18,2020-04-18T00:00:00Z,14848946.960572
2020-04-19,2020-04-19T00:00:00Z,11303127.904141
2020-04-20,2020-04-20T00:00:00Z,365073818.249877
2020-04-21,2020-04-21T00:00:00Z,19366323.197604
2020-04-22,2020-04-22T00:00:00Z,19309770.368148
2020-04-23,2020-04-23T00:00:00Z,18509734.653775
2020-04-24,2020-04-24T00:00:00Z,9379090.329023
2020-04-25,2020-04-25T00:00:00Z,7138891.90132
2020-04-26,2020-04-26T00:00:00Z,5722750.114727
2020-04-27,2020-04-27T00:00:00Z,11892588.25662
2020-04-28,2020-04-28T00:00:00Z,11944686.255226
2020-04-29,2020-04-29T00:00:00Z,128610395.622641
2020-04-30,2020-04-30T00:00:00Z,125619723.479786
2020-05-01,2020-05-01T00:00:00Z,18427872.55135
2020-05-02,2020-05-02T00:00:00Z,6873759.454646
2020-05-03,2020-05-03T00:00:00Z,7156716.662383
2020-05-04,2020-05-04T00:00:00Z,9793481.719211
2020-05-05,2020-05-05T00:00:00Z,103212765.621173
2020-05-06,2020-05-06T00:00:00Z,23911510.469888
2020-05-07,2020-05-07T00:00:00Z,117845508.614314
2020-05-08,2020-05-08T00:00:00Z,298800382.451778
2020-05-09,2020-05-09T00:00:00Z,24031493.405075
2020-05-10,2020-05-10T00:00:00Z,37049253.854803
2020-05-11,2020-05-11T00:00:00Z,205492440.04690292
2020-05-12,2020-05-12T00:00:00Z,24711527.752968
2020-05-13,2020-05-13T00:00:00Z,197101463.28783
2020-05-14,2020-05-14T00:00:00Z,23134008.370743
2020-05-15,2020-05-15T00:00:00Z,212574070.990809
2020-05-16,2020-05-16T00:00:00Z,18118996.150559
2020-05-17,2020-05-17T00:00:00Z,21051177.437975
2020-05-18,2020-05-18T00:00:00Z,26008513.839364
2020-05-19,2020-05-19T00:00:00Z,12093586.2941
2020-05-20,2020-05-20T00:00:00Z,13903764.880824
2020-05-21,2020-05-21T00:00:00Z,9879041.614344
2020-05-22,2020-05-22T00:00:00Z,9150504.02821
2020-05-23,2020-05-23T00:00:00Z,14608127.876296
2020-05-24,2020-05-24T00:00:00Z,17549996.242218
