date,Exchange Depositing Transactions
2018-10-21,36883
2018-10-22,46695
2018-10-23,51554
2018-10-24,61805
2018-10-25,59325
2018-10-26,56701
2018-10-27,46306
2018-10-28,33920
2018-10-29,58572
2018-10-30,49031
2018-10-31,44765
2018-11-01,43521
2018-11-02,43235
2018-11-03,42501
2018-11-04,38056
2018-11-05,55787
2018-11-06,51858
2018-11-07,43572
2018-11-08,44252
2018-11-09,60545
2018-11-10,36786
2018-11-11,37307
2018-11-12,52190
2018-11-13,45649
2018-11-14,59756
2018-11-15,55407
2018-11-16,45129
2018-11-17,37229
2018-11-18,35169
2018-11-19,95609
2018-11-20,63569
2018-11-21,51111
2018-11-22,43861
2018-11-23,47274
2018-11-24,45370
2018-11-25,49006
2018-11-26,56641
2018-11-27,51031
2018-11-28,51645
2018-11-29,48766
2018-11-30,56858
2018-12-01,41875
2018-12-02,39555
2018-12-03,50438
2018-12-04,45027
2018-12-05,46909
2018-12-06,46827
2018-12-07,57154
2018-12-08,56904
2018-12-09,42803
2018-12-10,42058
2018-12-11,44232
2018-12-12,45036
2018-12-13,47147
2018-12-14,53266
2018-12-15,49814
2018-12-16,39158
2018-12-17,50706
2018-12-18,47684
2018-12-19,56841
2018-12-20,52690
2018-12-21,47458
2018-12-22,41255
2018-12-23,45840
2018-12-24,52733
2018-12-25,56628
2018-12-26,46069
2018-12-27,39596
2018-12-28,49282
2018-12-29,45317
2018-12-30,39391
2018-12-31,40330
2019-01-01,39527
2019-01-02,45160
2019-01-03,45740
2019-01-04,46131
2019-01-05,44413
2019-01-06,46668
2019-01-07,59646
2019-01-08,55837
2019-01-09,56617
2019-01-10,59610
2019-01-11,58040
2019-01-12,36925
2019-01-13,35094
2019-01-14,43142
2019-01-15,53052
2019-01-16,43058
2019-01-17,40403
2019-01-18,39385
2019-01-19,38876
2019-01-20,36963
2019-01-21,39256
2019-01-22,38061
2019-01-23,40535
2019-01-24,36890
2019-01-25,38131
2019-01-26,34227
2019-01-27,38320
2019-01-28,45997
2019-01-29,39036
2019-01-30,39570
2019-01-31,40499
2019-02-01,38381
2019-02-02,32974
2019-02-03,32610
2019-02-04,32435
2019-02-05,31427
2019-02-06,32246
2019-02-07,36931
2019-02-08,41573
2019-02-09,34248
2019-02-10,30837
2019-02-11,37992
2019-02-12,33554
2019-02-13,34288
2019-02-14,33705
2019-02-15,33970
2019-02-16,32503
2019-02-17,34517
2019-02-18,48074
2019-02-19,42863
2019-02-20,38301
2019-02-21,38530
2019-02-22,36773
2019-02-23,35613
2019-02-24,38993
2019-02-25,41743
2019-02-26,39805
2019-02-27,45695
2019-02-28,51173
2019-03-01,37946
2019-03-02,35741
2019-03-03,32026
2019-03-04,34021
2019-03-05,40952
2019-03-06,39651
2019-03-07,40794
2019-03-08,40082
2019-03-09,50156
2019-03-10,30363
2019-03-11,36893
2019-03-12,47208
2019-03-13,40098
2019-03-14,38311
2019-03-15,42134
2019-03-16,35201
2019-03-17,29786
2019-03-18,52577
2019-03-19,49302
2019-03-20,43023
2019-03-21,40335
2019-03-22,40889
2019-03-23,32893
2019-03-24,35813
2019-03-25,43180
2019-03-26,55447
2019-03-27,45344
2019-03-28,42228
2019-03-29,43273
2019-03-30,40442
2019-03-31,40797
2019-04-01,49888
2019-04-02,63795
2019-04-03,64052
2019-04-04,52835
2019-04-05,43285
2019-04-06,41488
2019-04-07,48293
2019-04-08,60064
2019-04-09,61277
2019-04-10,51132
2019-04-11,77749
2019-04-12,112571
2019-04-13,63189
2019-04-14,36107
2019-04-15,50166
2019-04-16,41019
2019-04-17,40522
2019-04-18,45877
2019-04-19,40760
2019-04-20,36325
2019-04-21,37809
2019-04-22,43681
2019-04-23,52166
2019-04-24,58056
2019-04-25,48336
2019-04-26,45123
2019-04-27,35426
2019-04-28,36774
2019-04-29,37841
2019-04-30,46484
2019-05-01,42350
2019-05-02,39592
