date,Exchange Depositing Addresses
2016-07-02,3467
2016-07-03,3522
2016-07-04,3903
2016-07-05,3746
2016-07-06,3835
2016-07-07,3696
2016-07-08,3709
2016-07-09,3503
2016-07-10,3328
2016-07-11,3489
2016-07-12,3502
2016-07-13,3615
2016-07-14,3602
2016-07-15,3759
2016-07-16,3246
2016-07-17,3269
2016-07-18,3663
2016-07-19,13929
2016-07-20,4448
2016-07-21,3589
2016-07-22,3849
2016-07-23,3603
2016-07-24,4904
2016-07-25,3997
2016-07-26,8314
2016-07-27,6763
2016-07-28,5714
2016-07-29,4387
2016-07-30,3789
2016-07-31,4386
2016-08-01,5211
2016-08-02,6145
2016-08-03,5103
2016-08-04,5335
2016-08-05,4442
2016-08-06,4748
2016-08-07,4649
2016-08-08,4762
2016-08-09,5302
2016-08-10,5184
2016-08-11,5100
2016-08-12,4742
2016-08-13,4460
2016-08-14,4649
2016-08-15,4603
2016-08-16,4593
2016-08-17,4789
2016-08-18,4733
2016-08-19,4558
2016-08-20,4886
2016-08-21,4693
2016-08-22,3687
2016-08-23,5335
2016-08-24,4894
2016-08-25,5011
2016-08-26,4917
2016-08-27,4867
2016-08-28,4969
2016-08-29,5343
2016-08-30,5079
2016-08-31,5353
2016-09-01,5590
2016-09-02,5433
2016-09-03,5034
2016-09-04,4966
2016-09-05,4921
2016-09-06,4929
2016-09-07,4888
2016-09-08,5687
2016-09-09,5303
2016-09-10,4971
2016-09-11,5259
2016-09-12,5195
2016-09-13,5140
2016-09-14,5031
2016-09-15,5280
2016-09-16,5409
2016-09-17,5339
2016-09-18,4631
2016-09-19,4379
2016-09-20,6290
2016-09-21,6243
2016-09-22,4673
2016-09-23,4846
2016-09-24,5108
2016-09-25,5083
2016-09-26,4821
2016-09-27,4997
2016-09-28,4655
2016-09-29,5236
2016-09-30,5090
2016-10-01,4418
2016-10-02,5741
2016-10-03,5133
2016-10-04,3532
2016-10-05,3848
2016-10-06,4148
2016-10-07,4991
2016-10-08,4638
2016-10-09,5618
2016-10-10,5564
2016-10-11,4976
2016-10-12,2956
2016-10-13,2180
2016-10-14,4454
2016-10-15,3196
2016-10-16,4813
2016-10-17,4731
2016-10-18,6887
2016-10-19,3624
2016-10-20,5612
2016-10-21,5450
2016-10-22,6565
2016-10-23,6478
2016-10-24,4949
2016-10-25,4879
2016-10-26,5043
2016-10-27,5035
2016-10-28,5135
2016-10-29,4787
2016-10-30,3965
2016-10-31,5347
2016-11-01,4590
2016-11-02,4228
2016-11-03,4318
2016-11-04,3282
2016-11-05,3837
2016-11-06,3581
2016-11-07,4509
2016-11-08,4475
2016-11-09,4440
2016-11-10,4017
2016-11-11,4391
2016-11-12,3974
2016-11-13,4044
2016-11-14,3941
2016-11-15,4216
2016-11-16,3998
2016-11-17,3946
2016-11-18,4213
2016-11-19,4273
2016-11-20,4350
2016-11-21,4351
2016-11-22,3940
2016-11-23,3551
2016-11-24,2373
2016-11-25,3437
2016-11-26,2782
2016-11-27,2853
2016-11-28,3147
2016-11-29,3033
2016-11-30,2662
2016-12-01,2967
2016-12-02,3005
2016-12-03,2818
2016-12-04,2752
2016-12-05,2993
2016-12-06,3117
2016-12-07,2953
2016-12-08,3073
2016-12-09,3239
2016-12-10,2991
2016-12-11,2860
2016-12-12,3044
2016-12-13,2978
2016-12-14,3078
2016-12-15,3035
2016-12-16,3076
2016-12-17,2872
2016-12-18,3095
2016-12-19,3353
2016-12-20,3185
2016-12-21,3234
2016-12-22,3232
2016-12-23,2985
2016-12-24,2705
2016-12-25,2722
2016-12-26,2700
2016-12-27,2975
2016-12-28,3043
2016-12-29,2894
2016-12-30,2833
2016-12-31,2658
2017-01-01,2744
2017-01-02,2859
2017-01-03,3151
2017-01-04,3525
2017-01-05,3853
2017-01-06,3321
2017-01-07,3477
2017-01-08,3150
2017-01-09,3572
2017-01-10,3359
2017-01-11,3491
2017-01-12,3444
2017-01-13,3307
2017-01-14,3191
2017-01-15,2900
2017-01-16,3467
2017-01-17,3336
2017-01-18,3347
2017-01-19,3292
2017-01-20,3486
2017-01-21,3329
2017-01-22,3400
2017-01-23,3366
2017-01-24,3393
2017-01-25,3214
2017-01-26,3377
2017-01-27,3308
2017-01-28,3132
2017-01-29,3239
2017-01-30,3318
2017-01-31,3428
2017-02-01,3270
2017-02-02,3430
2017-02-03,3419
2017-02-04,3646
2017-02-05,3529
2017-02-06,3516
2017-02-07,3632
2017-02-08,3568
2017-02-09,3719
2017-02-10,3607
2017-02-11,3567
2017-02-12,3717
2017-02-13,3770
2017-02-14,4276
2017-02-15,4283
2017-02-16,4131
2017-02-17,4348
2017-02-18,4007
2017-02-19,4026
2017-02-20,4040
2017-02-21,4256
2017-02-22,4233
2017-02-23,4099
2017-02-24,4876
2017-02-25,4215
2017-02-26,4307
2017-02-27,4623
2017-02-28,5182
2017-03-01,4794
2017-03-02,11058
2017-03-03,5316
2017-03-04,5157
2017-03-05,6400
2017-03-06,5255
2017-03-07,5407
2017-03-08,5232
2017-03-09,5327
2017-03-10,6054
2017-03-11,5625
2017-03-12,6165
2017-03-13,7418
2017-03-14,6462
2017-03-15,6934
2017-03-16,10089
2017-03-17,10347
2017-03-18,9045
2017-03-19,7678
2017-03-20,7624
2017-03-21,7739
2017-03-22,7411
2017-03-23,7181
2017-03-24,9261
2017-03-25,7896
2017-03-26,7411
2017-03-27,8206
2017-03-28,7635
2017-03-29,7552
2017-03-30,8138
2017-03-31,13414
2017-04-01,8432
2017-04-02,8295
2017-04-03,11972
2017-04-04,7578
2017-04-05,8061
2017-04-06,7743
2017-04-07,7996
2017-04-08,6872
2017-04-09,6654
2017-04-10,7509
2017-04-11,7271
2017-04-12,7959
2017-04-13,7480
2017-04-14,7869
2017-04-15,6752
2017-04-16,6546
2017-04-17,6999
2017-04-18,8776
2017-04-19,7229
2017-04-20,8167
2017-04-21,7797
2017-04-22,6842
2017-04-23,8023
2017-04-24,8451
2017-04-25,7998
2017-04-26,7915
2017-04-27,9993
2017-04-28,9521
2017-04-29,9224
2017-04-30,9106
2017-05-01,11229
2017-05-02,9303
2017-05-03,9130
2017-05-04,9354
2017-05-05,10222
2017-05-06,9166
2017-05-07,11626
2017-05-08,12328
2017-05-09,12344
2017-05-10,10081
2017-05-11,10616
2017-05-12,10677
2017-05-13,8383
2017-05-14,8790
2017-05-15,10352
2017-05-16,11290
2017-05-17,12248
2017-05-18,11333
2017-05-19,12132
2017-05-20,10606
2017-05-21,12812
2017-05-22,12395
2017-05-23,16669
2017-05-24,18164
2017-05-25,15835
2017-05-26,15075
2017-05-27,13572
2017-05-28,12324
2017-05-29,12006
2017-05-30,16138
2017-05-31,18153
2017-06-01,16931
2017-06-02,14453
2017-06-03,16400
2017-06-04,15595
2017-06-05,15371
2017-06-06,17391
2017-06-07,16112
2017-06-08,16180
2017-06-09,15049
2017-06-10,17039
2017-06-11,17164
2017-06-12,22241
2017-06-13,23550
2017-06-14,20777
2017-06-15,19213
2017-06-16,17492
2017-06-17,17690
2017-06-18,16025
2017-06-19,22090
2017-06-20,15780
2017-06-21,16963
2017-06-22,16517
2017-06-23,24319
2017-06-24,17012
2017-06-25,23779
2017-06-26,24836
2017-06-27,20657
2017-06-28,19054
2017-06-29,19656
2017-06-30,18461
2017-07-01,16252
2017-07-02,16053
2017-07-03,20445
2017-07-04,19937
2017-07-05,18550
2017-07-06,18810
2017-07-07,19669
2017-07-08,18042
2017-07-09,14828
2017-07-10,20732
2017-07-11,22707
2017-07-12,19518
2017-07-13,14699
2017-07-14,17855
2017-07-15,15245
2017-07-16,18486
2017-07-17,17962
2017-07-18,20689
2017-07-19,19950
2017-07-20,19355
2017-07-21,17044
2017-07-22,14545
2017-07-23,20740
2017-07-24,21587
2017-07-25,19989
2017-07-26,16450
2017-07-27,16501
2017-07-28,23716
2017-07-29,17386
2017-07-30,16332
2017-07-31,23215
2017-08-01,19319
2017-08-02,21600
2017-08-03,19088
2017-08-04,21965
2017-08-05,21130
2017-08-06,20482
2017-08-07,22647
2017-08-08,26341
2017-08-09,26508
2017-08-10,27028
2017-08-11,30913
2017-08-12,24360
2017-08-13,30540
2017-08-14,30850
2017-08-15,27742
2017-08-16,25575
2017-08-17,29746
2017-08-18,28408
2017-08-19,25239
2017-08-20,21713
2017-08-21,30024
2017-08-22,24446
2017-08-23,27724
2017-08-24,24709
2017-08-25,24251
2017-08-26,22070
2017-08-27,20797
2017-08-28,24677
2017-08-29,27418
2017-08-30,29170
2017-08-31,27745
2017-09-01,28714
2017-09-02,26760
2017-09-03,22076
2017-09-04,35486
2017-09-05,30469
2017-09-06,30599
2017-09-07,28470
2017-09-08,28024
2017-09-09,24691
2017-09-10,20309
2017-09-11,29717
2017-09-12,26782
2017-09-13,24949
2017-09-14,27735
2017-09-15,33418
2017-09-16,24518
2017-09-17,26208
2017-09-18,46609
2017-09-19,22465
2017-09-20,21065
2017-09-21,21800
2017-09-22,18745
2017-09-23,16290
2017-09-24,16139
2017-09-25,19092
2017-09-26,19383
2017-09-27,20609
2017-09-28,23198
2017-09-29,17047
2017-09-30,16844
2017-10-01,19546
2017-10-02,21262
2017-10-03,19525
2017-10-04,17022
2017-10-05,17942
2017-10-06,17942
2017-10-07,17366
2017-10-08,19087
2017-10-09,22925
2017-10-10,20949
2017-10-11,19522
2017-10-12,21974
2017-10-13,26736
2017-10-14,20068
2017-10-15,19185
2017-10-16,20725
2017-10-17,22951
2017-10-18,21558
2017-10-19,22058
2017-10-20,23328
2017-10-21,25082
2017-10-22,23107
2017-10-23,32306
2017-10-24,27126
2017-10-25,23663
2017-10-26,22490
2017-10-27,23025
2017-10-28,20371
2017-10-29,22248
2017-10-30,22184
2017-10-31,25214
2017-11-01,41976
2017-11-02,47024
2017-11-03,29316
2017-11-04,23716
2017-11-05,21792
2017-11-06,25206
2017-11-07,25145
2017-11-08,29742
2017-11-09,28805
2017-11-10,28881
2017-11-11,26304
2017-11-12,38155
2017-11-13,30472
2017-11-14,27184
2017-11-15,29528
2017-11-16,30664
2017-11-17,32278
2017-11-18,26234
2017-11-19,27730
2017-11-20,40258
2017-11-21,29389
2017-11-22,28514
2017-11-23,33795
2017-11-24,32273
2017-11-25,30030
2017-11-26,31005
2017-11-27,34274
2017-11-28,42460
2017-11-29,47774
2017-11-30,41915
2017-12-01,36411
2017-12-02,43484
2017-12-03,53840
2017-12-04,39538
2017-12-05,41614
2017-12-06,56845
2017-12-07,32763
2017-12-08,35219
2017-12-09,32850
2017-12-10,32046
2017-12-11,49803
2017-12-12,66543
2017-12-13,49749
2017-12-14,62460
2017-12-15,52958
2017-12-16,48789
2017-12-17,49810
2017-12-18,63147
2017-12-19,68592
2017-12-20,71268
2017-12-21,63574
2017-12-22,118462
2017-12-23,67810
2017-12-24,46987
2017-12-25,46986
2017-12-26,48917
2017-12-27,51615
2017-12-28,63578
2017-12-29,97673
2017-12-30,96544
2017-12-31,53418
2018-01-01,66812
2018-01-02,71428
2018-01-03,74507
2018-01-04,107923
2018-01-05,81573
2018-01-06,74221
2018-01-07,71952
2018-01-08,88076
2018-01-09,101191
2018-01-10,81136
2018-01-11,85620
2018-01-12,66428
2018-01-13,66903
2018-01-14,56710
2018-01-15,168659
2018-01-16,140341
2018-01-17,148418
2018-01-18,149264
2018-01-19,92043
2018-01-20,43147
2018-01-21,204181
2018-01-22,65505
2018-01-23,57884
2018-01-24,58322
2018-01-25,52031
2018-01-26,84213
2018-01-27,70908
2018-01-28,52563
2018-01-29,55579
2018-01-30,58529
2018-01-31,57520
2018-02-01,64026
2018-02-02,74259
2018-02-03,48691
2018-02-04,44141
2018-02-05,69854
2018-02-06,74655
2018-02-07,69763
2018-02-08,57785
2018-02-09,45382
2018-02-10,47259
2018-02-11,64236
2018-02-12,53310
2018-02-13,43120
2018-02-14,44738
2018-02-15,49088
2018-02-16,42133
2018-02-17,38886
2018-02-18,36121
2018-02-19,41220
2018-02-20,40092
2018-02-21,40434
2018-02-22,34331
2018-02-23,36035
2018-02-24,34162
2018-02-25,34998
2018-02-26,43370
2018-02-27,36828
2018-02-28,35877
2018-03-01,35527
2018-03-02,39595
2018-03-03,33437
2018-03-04,31470
2018-03-05,46899
2018-03-06,66812
2018-03-07,150826
2018-03-08,47104
2018-03-09,41711
2018-03-10,49623
2018-03-11,27767
2018-03-12,28841
2018-03-13,50234
2018-03-14,44187
2018-03-15,41560
2018-03-16,34091
2018-03-17,36064
2018-03-18,31071
2018-03-19,59005
2018-03-20,28672
2018-03-21,52658
2018-03-22,36960
2018-03-23,73023
2018-03-24,87351
2018-03-25,32154
2018-03-26,43375
2018-03-27,39301
2018-03-28,38434
2018-03-29,41168
2018-03-30,36354
2018-03-31,33439
2018-04-01,36305
2018-04-02,36870
2018-04-03,36721
2018-04-04,34114
2018-04-05,38481
2018-04-06,33427
2018-04-07,30260
2018-04-08,31376
2018-04-09,42714
2018-04-10,38683
2018-04-11,37488
2018-04-12,46559
2018-04-13,47909
2018-04-14,35496
2018-04-15,31154
2018-04-16,40622
2018-04-17,37425
2018-04-18,40981
2018-04-19,42716
2018-04-20,49377
2018-04-21,53744
2018-04-22,62728
2018-04-23,73042
2018-04-24,54485
2018-04-25,48086
2018-04-26,45406
2018-04-27,49441
2018-04-28,38189
2018-04-29,42388
2018-04-30,47688
2018-05-01,44428
2018-05-02,50569
2018-05-03,61392
2018-05-04,326348
2018-05-05,103664
2018-05-06,51680
2018-05-07,44297
2018-05-08,49811
2018-05-09,41712
2018-05-10,47065
2018-05-11,54552
2018-05-12,45970
2018-05-13,34999
2018-05-14,53681
2018-05-15,49505
2018-05-16,41134
2018-05-17,42239
2018-05-18,52313
2018-05-19,41324
2018-05-20,39418
2018-05-21,50575
2018-05-22,49391
2018-05-23,55115
2018-05-24,51967
2018-05-25,54426
2018-05-26,39390
2018-05-27,40466
2018-05-28,52072
2018-05-29,49954
2018-05-30,47565
2018-05-31,50681
2018-06-01,47037
2018-06-02,46901
2018-06-03,35219
2018-06-04,56958
2018-06-05,46314
2018-06-06,37403
2018-06-07,45802
2018-06-08,41574
2018-06-09,36830
2018-06-10,45430
2018-06-11,47569
2018-06-12,49767
2018-06-13,51082
2018-06-14,45631
2018-06-15,46126
2018-06-16,33734
2018-06-17,42685
2018-06-18,38889
2018-06-19,45677
2018-06-20,50390
2018-06-21,58862
2018-06-22,72052
2018-06-23,43432
2018-06-24,62800
2018-06-25,60412
2018-06-26,52683
2018-06-27,54101
2018-06-28,39475
2018-06-29,46600
2018-06-30,30860
2018-07-01,29438
2018-07-02,40891
2018-07-03,39784
2018-07-04,33144
2018-07-05,43448
2018-07-06,34538
2018-07-07,34361
2018-07-08,40815
2018-07-09,44752
2018-07-10,40503
2018-07-11,41954
2018-07-12,31687
2018-07-13,32030
2018-07-14,27410
2018-07-15,31228
2018-07-16,45853
2018-07-17,40141
2018-07-18,48264
2018-07-19,39635
2018-07-20,41250
2018-07-21,34379
2018-07-22,31893
2018-07-23,40013
2018-07-24,67707
2018-07-25,55032
2018-07-26,43895
2018-07-27,30609
2018-07-28,32156
2018-07-29,30489
2018-07-30,40985
2018-07-31,48848
2018-08-01,31365
2018-08-02,38417
2018-08-03,38778
2018-08-04,36076
2018-08-05,34470
2018-08-06,35645
2018-08-07,36266
2018-08-08,51216
2018-08-09,36908
2018-08-10,45799
2018-08-11,33419
2018-08-12,33772
2018-08-13,38889
2018-08-14,44133
2018-08-15,43398
2018-08-16,46368
2018-08-17,58948
2018-08-18,32525
2018-08-19,33550
2018-08-20,35334
2018-08-21,34162
2018-08-22,40727
2018-08-23,42744
2018-08-24,53651
2018-08-25,60417
2018-08-26,56325
2018-08-27,60396
2018-08-28,47080
2018-08-29,44154
2018-08-30,37950
2018-08-31,42455
2018-09-01,46163
2018-09-02,35000
2018-09-03,53963
2018-09-04,55491
2018-09-05,66308
2018-09-06,49483
2018-09-07,52745
2018-09-08,37240
2018-09-09,38552
2018-09-10,57813
2018-09-11,41959
2018-09-12,46270
2018-09-13,48890
2018-09-14,40181
2018-09-15,32376
2018-09-16,32281
2018-09-17,40577
2018-09-18,36244
2018-09-19,38137
2018-09-20,37415
2018-09-21,43608
2018-09-22,41063
2018-09-23,35615
2018-09-24,36914
2018-09-25,36001
2018-09-26,40024
2018-09-27,37224
2018-09-28,34998
2018-09-29,28538
2018-09-30,39350
2018-10-01,30936
2018-10-02,29633
2018-10-03,33521
2018-10-04,34715
2018-10-05,32746
2018-10-06,48546
2018-10-07,36328
2018-10-08,41953
2018-10-09,37212
2018-10-10,39404
2018-10-11,43303
2018-10-12,32492
2018-10-13,43966
2018-10-14,28093
2018-10-15,41033
2018-10-16,41315
2018-10-17,47712
2018-10-18,44702
2018-10-19,41841
2018-10-20,33855
2018-10-21,28483
2018-10-22,36318
2018-10-23,41585
2018-10-24,52512
2018-10-25,50004
2018-10-26,47721
2018-10-27,38759
2018-10-28,25949
2018-10-29,46517
2018-10-30,39036
2018-10-31,34133
2018-11-01,33966
2018-11-02,34211
2018-11-03,34846
2018-11-04,28902
2018-11-05,42918
2018-11-06,38214
2018-11-07,33959
2018-11-08,34630
2018-11-09,51221
2018-11-10,28550
2018-11-11,29453
2018-11-12,41083
2018-11-13,36180
2018-11-14,48569
2018-11-15,43992
2018-11-16,35771
2018-11-17,29362
2018-11-18,27354
2018-11-19,81327
2018-11-20,48405
2018-11-21,40543
2018-11-22,34441
2018-11-23,36614
2018-11-24,35848
2018-11-25,37009
2018-11-26,43666
2018-11-27,41189
2018-11-28,40063
2018-11-29,37763
2018-11-30,36001
2018-12-01,32263
2018-12-02,31470
2018-12-03,40222
2018-12-04,35195
2018-12-05,36760
2018-12-06,34812
2018-12-07,43528
2018-12-08,46240
2018-12-09,33539
2018-12-10,31986
2018-12-11,34277
2018-12-12,36184
2018-12-13,37878
2018-12-14,43646
2018-12-15,41246
2018-12-16,31425
2018-12-17,38843
2018-12-18,36969
2018-12-19,44582
2018-12-20,40766
2018-12-21,34976
2018-12-22,31929
2018-12-23,34852
2018-12-24,39150
2018-12-25,47087
2018-12-26,36887
2018-12-27,30370
2018-12-28,38659
2018-12-29,35121
2018-12-30,30649
2018-12-31,30729
2019-01-01,30610
2019-01-02,33281
2019-01-03,35983
2019-01-04,36155
2019-01-05,34843
2019-01-06,37602
2019-01-07,49506
2019-01-08,45982
2019-01-09,46994
2019-01-10,48730
2019-01-11,48957
2019-01-12,29104
2019-01-13,27164
2019-01-14,34239
2019-01-15,41745
2019-01-16,33520
2019-01-17,31441
2019-01-18,30863
2019-01-19,30175
2019-01-20,28507
2019-01-21,30742
2019-01-22,29455
2019-01-23,32690
2019-01-24,28963
2019-01-25,30100
2019-01-26,26966
2019-01-27,30223
2019-01-28,35066
2019-01-29,30400
2019-01-30,30908
2019-01-31,31844
2019-02-01,30158
2019-02-02,25415
2019-02-03,25505
2019-02-04,24681
2019-02-05,23466
2019-02-06,23932
2019-02-07,28149
2019-02-08,30855
2019-02-09,26542
2019-02-10,23831
2019-02-11,29691
2019-02-12,25942
2019-02-13,26348
2019-02-14,26300
2019-02-15,26368
2019-02-16,24667
2019-02-17,26302
2019-02-18,36980
2019-02-19,32720
2019-02-20,28905
2019-02-21,29593
2019-02-22,28275
2019-02-23,27764
2019-02-24,29692
2019-02-25,31954
2019-02-26,27764
2019-02-27,35473
2019-02-28,25091
2019-03-01,29075
2019-03-02,28878
2019-03-03,25504
2019-03-04,24950
2019-03-05,32072
2019-03-06,31344
2019-03-07,31684
2019-03-08,31444
2019-03-09,41735
2019-03-10,23492
2019-03-11,27679
2019-03-12,37832
2019-03-13,32087
2019-03-14,29967
2019-03-15,33867
2019-03-16,26421
2019-03-17,22593
2019-03-18,41868
2019-03-19,33798
2019-03-20,33002
2019-03-21,31687
2019-03-22,31709
2019-03-23,25554
2019-03-24,27628
2019-03-25,32529
2019-03-26,45689
2019-03-27,34826
2019-03-28,32618
2019-03-29,33140
2019-03-30,30934
2019-03-31,31814
2019-04-01,38571
2019-04-02,48363
2019-04-03,47858
2019-04-04,39838
2019-04-05,33554
2019-04-06,32287
2019-04-07,37898
2019-04-08,46507
2019-04-09,50010
2019-04-10,40134
2019-04-11,66588
2019-04-12,103428
2019-04-13,55600
2019-04-14,28739
2019-04-15,39513
2019-04-16,31732
2019-04-17,31997
2019-04-18,35991
2019-04-19,31458
2019-04-20,28229
2019-04-21,29505
2019-04-22,32615
2019-04-23,40922
2019-04-24,46517
2019-04-25,37171
2019-04-26,34344
2019-04-27,27605
2019-04-28,28967
2019-04-29,28530
2019-04-30,35713
2019-05-01,33327
2019-05-02,30627
2019-05-03,32911
2019-05-04,29575
2019-05-05,27604
2019-05-06,33808
2019-05-07,36416
2019-05-08,35065
2019-05-09,32119
2019-05-10,33291
2019-05-11,34774
2019-05-12,31723
2019-05-13,38020
2019-05-14,40545
2019-05-15,47735
2019-05-16,44423
2019-05-17,37323
2019-05-18,29960
2019-05-19,28330
2019-05-20,31273
2019-05-21,33387
2019-05-22,30570
2019-05-23,29904
2019-05-24,31381
2019-05-25,27070
2019-05-26,28339
2019-05-27,35359
2019-05-28,33450
2019-05-29,30944
2019-05-30,35539
2019-05-31,31133
2019-06-01,26854
2019-06-02,24569
2019-06-03,27952
2019-06-04,28859
2019-06-05,36669
2019-06-06,25242
2019-06-07,25836
2019-06-08,23553
2019-06-09,23923
2019-06-10,43699
2019-06-11,33957
2019-06-12,29024
2019-06-13,35457
2019-06-14,32170
2019-06-15,26304
2019-06-16,26065
2019-06-17,29256
2019-06-18,26589
