date,Exchange Reserve
2023-02-21,22942842.90858548
2023-02-22,22946825.48374323
2023-02-23,22951264.275801983
2023-02-24,23044102.95687514
2023-02-25,23044535.27462853
2023-02-26,23043995.911032755
2023-02-27,22947997.712320738
2023-02-28,22930340.332203727
2023-03-01,22898505.399121143
2023-03-02,22899502.053514764
2023-03-03,22879717.703555766
2023-03-04,22863595.57041797
2023-03-05,22832584.24087903
2023-03-06,22780194.073036227
2023-03-07,22790523.15182994
2023-03-08,22816915.1316568
2023-03-09,22793469.53817503
2023-03-10,22676354.71642004
2023-03-11,22422849.624821942
2023-03-12,22429165.050783586
2023-03-13,22417472.765837222
2023-03-14,22474547.30935441
2023-03-15,22541632.966580715
2023-03-16,22491343.6425336
2023-03-17,22509333.063937776
2023-03-18,22503684.99192161
2023-03-19,22461454.622930948
2023-03-20,22506257.13659944
2023-03-21,22576370.82008392
2023-03-22,22453517.00410104
2023-03-23,22480941.32566832
2023-03-24,22413164.34351956
2023-03-25,22340690.899325505
2023-03-26,22322159.755448297
2023-03-27,22278610.42238112
2023-03-28,22291592.332871083
2023-03-29,22335804.998550635
2023-03-30,22321931.40573612
2023-03-31,22357889.689036712
2023-04-01,22319979.820753824
2023-04-02,22315586.98984605
2023-04-03,22360431.037367426
2023-04-04,22349174.287496533
2023-04-05,22415157.427921016
2023-04-06,22380097.246182773
2023-04-07,22393049.84937371
2023-04-08,22388902.972795848
2023-04-09,22380615.91145645
2023-04-10,22339106.302813005
2023-04-11,22315773.27737636
2023-04-12,22348745.754462253
2023-04-13,22267553.60022851
2023-04-14,22351356.54133127
2023-04-15,22504744.103679616
2023-04-16,22568190.59413974
2023-04-17,22629095.27678173
2023-04-18,22619055.32417664
2023-04-19,22429249.303796384
2023-04-20,22647851.51200176
2023-04-21,22693761.66051812
2023-04-22,22666211.54611784
2023-04-23,22658102.56871843
2023-04-24,22831878.67882497
2023-04-25,22813607.083841324
2023-04-26,22767876.712969605
2023-04-27,22742118.58587623
2023-04-28,22709853.56667639
2023-04-29,22687826.26891888
2023-04-30,22694049.217653457
2023-05-01,22954350.392247792
2023-05-02,22926523.092633445
2023-05-03,22885466.588840336
2023-05-04,22835531.61348304
2023-05-05,22833132.7615672
2023-05-06,22692071.991571523
2023-05-07,22648065.889887013
2023-05-08,22530519.52167928
2023-05-09,22541709.55376946
2023-05-10,22403457.971921887
2023-05-11,22343505.530887257
2023-05-12,22392319.63041104
2023-05-13,22373526.38151417
2023-05-14,22351741.57719143
2023-05-15,22359337.187096097
2023-05-16,22326996.901413124
2023-05-17,22318164.59603751
2023-05-18,22273405.48156069
2023-05-19,22243731.61977421
2023-05-20,22192586.58449988
2023-05-21,22187629.87757866
2023-05-22,22159306.33703621
2023-05-23,22174313.111845706
2023-05-24,22175210.574140105
2023-05-25,22130618.819691725
2023-05-26,22330253.56219676
2023-05-27,22286739.75926797
2023-05-28,22281498.002976216
2023-05-29,22242542.43743641
2023-05-30,22234448.57188614
2023-05-31,22205623.43559213
2023-06-01,22202680.563663386
2023-06-02,22139350.841976754
2023-06-03,22089666.43681781
2023-06-04,22065039.297925428
2023-06-05,22194712.137773085
2023-06-06,22150758.692429617
2023-06-07,22669889.265957195
2023-06-08,22574241.0296723
2023-06-09,22498059.723868184
2023-06-10,22476373.388093363
2023-06-11,22483197.83089764
2023-06-12,22510688.03461169
2023-06-13,22505513.22753558
2023-06-14,22026775.09198412
2023-06-15,21953019.32604686
2023-06-16,21973004.50746741
2023-06-17,21968872.05786238
2023-06-18,21949128.25158938
2023-06-19,21924679.020634413
2023-06-20,21924611.46436096
2023-06-21,21820374.81152298
2023-06-22,21804848.319129355
2023-06-23,21781159.207063284
2023-06-24,21741431.144279063
2023-06-25,21701989.09396044
2023-06-26,21902489.87047132
2023-06-27,22027526.02606069
2023-06-28,22030413.802251667
2023-06-29,22036536.616263576
2023-06-30,22075364.830606136
2023-07-01,22029627.19128124
2023-07-02,22003467.79384544
2023-07-03,21973844.171303533
2023-07-04,21950945.885280624
2023-07-05,22029521.872519568
2023-07-06,22054051.252497483
2023-07-07,22041027.029593576
2023-07-08,22037401.187371068
2023-07-09,22045153.08988698
2023-07-10,22049699.487040408
2023-07-11,22059228.285396382
2023-07-12,22059051.45291268
2023-07-13,22026814.49715857
2023-07-14,21902973.28387212
2023-07-15,21875982.416762184
2023-07-16,21862327.56300893
2023-07-17,21879632.0262745
2023-07-18,21949707.06401258
2023-07-19,21951336.7701052
2023-07-20,21932288.95510164
2023-07-21,21963270.509004403
2023-07-22,21893537.71886065
2023-07-23,21894491.19179845
2023-07-24,21903986.12892448
2023-07-25,21910452.3648921
2023-07-26,21924589.67382485
2023-07-27,21907713.884576768
2023-07-28,21924587.96968871
2023-07-29,21905570.207970057
2023-07-30,21869973.27365791
2023-07-31,21867618.2361677
2023-08-01,21878665.488040727
2023-08-02,21888404.781329293
2023-08-03,21900619.212542824
2023-08-04,21850210.86880248
2023-08-05,21860424.091738675
2023-08-06,21851534.240936816
2023-08-07,21858819.23912132
2023-08-08,21845026.18909936
2023-08-09,21836337.580783032
2023-08-10,21843891.90682164
2023-08-11,21783451.02069714
2023-08-12,21808237.430995632
2023-08-13,21754518.956610173
