date,Exchange Inflow (Total)
2015-11-24,54614.47155348476
2015-11-25,55842.25591163676
2015-11-26,748795.8811987443
2015-11-27,28126.60518558032
2015-11-28,46049.92498644879
2015-11-29,40022.69512855416
2015-11-30,88970.01770943288
2015-12-01,87367.01152527885
2015-12-02,174788.9338463934
2015-12-03,29462.712330219674
2015-12-04,63203.39286635727
2015-12-05,55701.54625458551
2015-12-06,83649.8959744547
2015-12-07,113613.08176556068
2015-12-08,73981.43095913099
2015-12-09,151319.45362982102
2015-12-10,30495.785827896667
2015-12-11,80339.5531994439
2015-12-12,224799.5067790294
2015-12-13,217204.4030892089
2015-12-14,78046.85464252005
2015-12-15,214184.34827989823
2015-12-16,1139999.4574337176
2015-12-17,148333.3861992611
2015-12-18,125316.30822698104
2015-12-19,89965.36202365071
2015-12-20,66708.33769905732
2015-12-21,65063.89092573253
2015-12-22,87980.06226166945
2015-12-23,38358.833381631775
2015-12-24,30388.195356431577
2015-12-25,21327.286078885103
2015-12-26,41030.61858231955
2015-12-27,28540.12034022845
2015-12-28,42601.63730127863
2015-12-29,27114.03508799388
2015-12-30,33975.046428911
2015-12-31,142060.90434194735
2016-01-01,115812.60641032604
2016-01-02,72310.19806733703
2016-01-03,99838.45891567555
2016-01-04,37983.35660148684
2016-01-05,653230.06315396
2016-01-06,64830.99840842519
2016-01-07,101032.05681592856
2016-01-08,36142.95793607039
2016-01-09,32973.33177116479
2016-01-10,49115.81047377975
2016-01-11,160548.25585801978
2016-01-12,323613.819007827
2016-01-13,222729.3503865602
2016-01-14,138132.1458168823
2016-01-15,232953.54988634444
2016-01-16,167460.6679504182
2016-01-17,155970.25793141482
2016-01-18,1098044.5070056403
2016-01-19,557870.3136818022
2016-01-20,190230.72571225057
2016-01-21,133647.23581542398
2016-01-22,101567.05261073347
2016-01-23,384480.47067169327
2016-01-24,833595.1712727218
2016-01-25,855719.5032798524
2016-01-26,532030.412526421
2016-01-27,372737.5444882832
2016-01-28,305539.2793391081
2016-01-29,195818.5172994813
2016-01-30,504418.403672056
2016-01-31,616877.0136588576
2016-02-01,177115.50062910473
2016-02-02,104972.51237623244
2016-02-03,114138.58479037225
2016-02-04,71896.59359709706
2016-02-05,249696.11635827133
2016-02-06,58027.71825548873
2016-02-07,540570.0042605337
2016-02-08,534597.0340743649
2016-02-09,680177.6163186344
2016-02-10,721217.949058586
2016-02-11,587136.0076711499
2016-02-12,856034.0851560659
2016-02-13,589398.0468903716
2016-02-14,378596.5775883517
2016-02-15,238105.13229128323
2016-02-16,266543.1928144422
2016-02-17,252062.68823876028
2016-02-18,314528.6816211694
2016-02-19,157584.5622430032
2016-02-20,597001.736903075
2016-02-21,85468.85031717682
2016-02-22,239403.88520329748
2016-02-23,213381.89270801417
2016-02-24,220445.2466602412
2016-02-25,268880.7410648492
2016-02-26,1984561.434312117
2016-02-27,1651664.3260747576
2016-02-28,376115.4235812098
2016-02-29,256129.2452738446
2016-03-01,686653.0823435263
2016-03-02,2566858.04034618
2016-03-03,894707.0832338354
2016-03-04,641841.9929384275
2016-03-05,1230284.2953992044
2016-03-06,733392.077697264
2016-03-07,656641.6507816924
2016-03-08,423178.43371887744
2016-03-09,349538.13725525944
2016-03-10,360035.2226758819
2016-03-11,221208.2666469831
