gecko_id,tvl,tokensymbol,cmcid,name,chainid
,272154.13246123417,ROSE,,Oasis Sapphire,23294.0
nolus,270350.07632284827,NLS,,Nolus,
umee,265489.82175408775,UX,16389.0,UX,
fuse-network-token,264794.06966433476,FUSE,5634.0,Fuse,122.0
tomochain,263021.84511008597,VIC,2570.0,Viction,88.0
chromaway,260788.0556322698,CHR,3978.0,Chromia,
babylon,258776.98332680322,BABY,,Babylon Genesis,
elastos,252511.2656492473,ELA,2492.0,Elastos,20.0
archway,251864.06754929735,ARCH,27358.0,Archway,
velas,251759.1933141672,VLX,4747.0,Velas,106.0
,245173.47523773316,,,SatoshiVM,3109.0
xpla,233246.35284379736,XPLA,22359.0,XPLA,
,227339.87009180652,,,Inertia,
oraichain-token,221793.03247401348,ORAI,7533.0,Oraichain,
dione,219600.49065128015,DIONE,21473.0,Odyssey,153153.0
oasis-network,213393.66584268777,ROSE,7653.0,Oasis Emerald,42262.0
,212486.51182553024,,,Asset Chain,42420.0
ultron,194242.30897926434,ULX,21524.0,Ultron,1231.0
oasys,189005.7886294242,OAS,22265.0,Oasys,
,186071.60985248385,,,Bittensor EVM,964.0
songbird,185820.9937429796,SGB,12186.0,Songbird,19.0
,176853.56528403988,,,Kasplex,
evmos,169121.98531088448,EVMOS,,Evmos,9001.0
,160233.38335645857,,,Zero Network,543210.0
stargaze,157779.883743943,STARS,16842.0,Stargaze,
energi,151608.3251357995,NRG,3218.0,Energi,39797.0
keeta,151045.4718159168,KTA,36066.0,Keeta,
,150584.7251081383,,,SKALE Europa,
redbelly-network-token,148997.10967562505,RBNT,,Redbelly,
electroneum,147394.15887397493,ETN,2137.0,Electroneum,52014.0
interlay,146697.60953389687,INTR,20366.0,Interlay,
qubic-network,139438.49113197453,QUBIC,29169.0,Qubic,
everscale,138179.0,EVER,7505.0,Everscale,
,134258.7739504274,-,,Lens,232.0
cosmos,133714.62115599343,ATOM,3794.0,CosmosHub,
chia,129544.79919950211,XCH,9258.0,Chia,
libre,125159.3008506034,LIBRE,,Libre,
zklink,119031.5952165666,ZKL,,zkLink Nova,810180.0
hela,117276.68419166045,HELA,2137.0,HeLa,8668.0
dymension,117008.58180390786,DYM,28932.0,Dymension,
acala,109722.69838548153,ACA,6756.0,Acala,
voi-network,99032.92029518305,VOI,,Voi Network,
huobi-token,97572.69871296972,HT,2502.0,Heco,128.0
microvisionchain,94267.3383900411,SPACE,24193.0,MVC,
,94241.53186722423,,,DeFiChain EVM,1130.0
juno-network,90187.53951370552,JUNO,14299.0,Juno,
,88295.30869125023,,,Naka,
,85881.52449924061,,,AILayer,2649.0
,85071.42898220618,,,Superposition,55244.0
agoric,84350.33995965146,BLD,,Agoric,
,84215.55204201845,,,Saakuru,7225878.0
,80690.52782857497,,,Zkfair,42766.0
open-gpu,79876.73974768372,OGPU,30751.0,OpenGPU,
energy-web-token,77224.73582106458,EWT,5268.0,EnergyWeb,246.0
superseed,73878.63817523562,SUPR,36436.0,Superseed,5330.0
polkadex,72043.04942898818,PDEX,9017.0,Polkadex,
renec,69012.49360446734,RENEC,24143.0,RENEC,
,67127.0643597354,,,Shape,360.0
karura,67074.24360124496,KAR,10042.0,Karura,
crescent-network,55579.77213905445,CRE,,Crescent,
,55544.60773431814,,,Corn,21000000.0
,55274.01087533462,,,Civitia,
,54665.224683683686,,,Godwoken,71394.0
nahmii,54496.352869764014,NII,4865.0,Nahmii,5551.0
,53747.653703160504,QGOV,,Q Protocol,35441.0
neon,51716.98292568922,NEON,26735.0,Neon,245022934.0
pego-network-2,47690.19904164177,PG,27723.0,Pego,
bitcoin-cash,46029.47497200112,BCH,1831.0,smartBCH,10000.0
xai-blockchain,45576.65571776486,XAI,28374.0,Xai,
la-coin,44808.09296687736,LAC,,LaChain Network,274.0
,42395.19753071551,,,Zora,7777777.0
findora,41906.217942971714,FRA,4249.0,Findora,2152.0
,41778.4734890507,,,Ancient8,888888888.0
,41614.2631307813,HYDRA,,Hydra Chain,4488.0
crossfi-2,38318.941292696196,XFI,26202.0,CrossFi,4158.0
pepe-unchained-2,36279.0070685619,PEPU,36696.0,Pepu,97741.0
,34792.17550974195,,,Massa,
,33661.84383216456,,,BEVM,
ethereum-classic,32278.949162701807,ETC,1321.0,EthereumClassic,61.0
,31965.555110517853,XRP,,XRPL EVM,1440000.0
,29426.862390297378,,,Redstone,690.0
stepex,26698.716212127838,SPEX,21725.0,Step,
ao-computer,26499.90222845804,AO,35386.0,AO,
loopnetwork,25165.721319135064,LOOP,18761.0,Loop,
shiden,24319.01965288707,SDN,11451.0,Shiden,336.0
persistence,22932.49638852778,XPRT,7281.0,Persistence One,
stratis,22901.72772445703,STRAX,30168.0,Stratis,105105.0
gpunet,21239.36618744304,GPU,36772.0,GANchain,4048.0
,20984.007191515662,,,Mint,185.0
soon-2,20877.92740594217,SOON,,Soon Network,
,20381.341557399264,,,DChain,2716446429837000.0
,19758.457123036438,,,Astar zkEVM,3776.0
hydra,19247.790503329375,HYDRA,8245.0,Hydra,
aura-network,19016.168704185555,AURA,20326.0,Aura Network,
tomb,18682.14291481489,TOMB,11495.0,Tombchain,
,18676.510108703624,,,Matchain,698.0
areon-network,18001.496564100722,AREA,23262.0,Areon Network,
sora,17597.9,XOR,5802.0,Sora,
,16789.31630837926,,,svmBNB,
