date,timestamp_utc,Fees Burnt USD (Total)
2021-06-11,2021-06-11T00:00:00Z,
2021-06-12,2021-06-12T00:00:00Z,
2021-06-13,2021-06-13T00:00:00Z,
2021-06-14,2021-06-14T00:00:00Z,
2021-06-15,2021-06-15T00:00:00Z,
2021-06-16,2021-06-16T00:00:00Z,
2021-06-17,2021-06-17T00:00:00Z,
2021-06-18,2021-06-18T00:00:00Z,
2021-06-19,2021-06-19T00:00:00Z,
2021-06-20,2021-06-20T00:00:00Z,
2021-06-21,2021-06-21T00:00:00Z,
2021-06-22,2021-06-22T00:00:00Z,
2021-06-23,2021-06-23T00:00:00Z,
2021-06-24,2021-06-24T00:00:00Z,
2021-06-25,2021-06-25T00:00:00Z,
2021-06-26,2021-06-26T00:00:00Z,
2021-06-27,2021-06-27T00:00:00Z,
2021-06-28,2021-06-28T00:00:00Z,
2021-06-29,2021-06-29T00:00:00Z,
2021-06-30,2021-06-30T00:00:00Z,
2021-07-01,2021-07-01T00:00:00Z,
2021-07-02,2021-07-02T00:00:00Z,
2021-07-03,2021-07-03T00:00:00Z,
2021-07-04,2021-07-04T00:00:00Z,
2021-07-05,2021-07-05T00:00:00Z,
2021-07-06,2021-07-06T00:00:00Z,
2021-07-07,2021-07-07T00:00:00Z,
2021-07-08,2021-07-08T00:00:00Z,
2021-07-09,2021-07-09T00:00:00Z,
2021-07-10,2021-07-10T00:00:00Z,
2021-07-11,2021-07-11T00:00:00Z,
2021-07-12,2021-07-12T00:00:00Z,
2021-07-13,2021-07-13T00:00:00Z,
2021-07-14,2021-07-14T00:00:00Z,
2021-07-15,2021-07-15T00:00:00Z,
2021-07-16,2021-07-16T00:00:00Z,
2021-07-17,2021-07-17T00:00:00Z,
2021-07-18,2021-07-18T00:00:00Z,
2021-07-19,2021-07-19T00:00:00Z,
2021-07-20,2021-07-20T00:00:00Z,
2021-07-21,2021-07-21T00:00:00Z,
2021-07-22,2021-07-22T00:00:00Z,
2021-07-23,2021-07-23T00:00:00Z,
2021-07-24,2021-07-24T00:00:00Z,
2021-07-25,2021-07-25T00:00:00Z,
2021-07-26,2021-07-26T00:00:00Z,
2021-07-27,2021-07-27T00:00:00Z,
2021-07-28,2021-07-28T00:00:00Z,
2021-07-29,2021-07-29T00:00:00Z,
2021-07-30,2021-07-30T00:00:00Z,
2021-07-31,2021-07-31T00:00:00Z,
2021-08-01,2021-08-01T00:00:00Z,
2021-08-02,2021-08-02T00:00:00Z,
2021-08-03,2021-08-03T00:00:00Z,
2021-08-04,2021-08-04T00:00:00Z,
2021-08-05,2021-08-05T00:00:00Z,8637755.649737546
2021-08-06,2021-08-06T00:00:00Z,11879603.538019624
2021-08-07,2021-08-07T00:00:00Z,13333684.905087294
2021-08-08,2021-08-08T00:00:00Z,12625745.754785202
2021-08-09,2021-08-09T00:00:00Z,13430390.973708626
2021-08-10,2021-08-10T00:00:00Z,16694538.23446195
2021-08-11,2021-08-11T00:00:00Z,16525323.238679348
2021-08-12,2021-08-12T00:00:00Z,15093841.214064756
2021-08-13,2021-08-13T00:00:00Z,15790072.78824824
2021-08-14,2021-08-14T00:00:00Z,13784308.972612914
2021-08-15,2021-08-15T00:00:00Z,17470206.236277916
2021-08-16,2021-08-16T00:00:00Z,15011217.81770692
2021-08-17,2021-08-17T00:00:00Z,13053378.210903283
2021-08-18,2021-08-18T00:00:00Z,11668720.615282653
2021-08-19,2021-08-19T00:00:00Z,11340867.90200718
2021-08-20,2021-08-20T00:00:00Z,11446965.792202951
2021-08-21,2021-08-21T00:00:00Z,9882132.67267615
2021-08-22,2021-08-22T00:00:00Z,10037589.974395644
2021-08-23,2021-08-23T00:00:00Z,17900413.088947646
2021-08-24,2021-08-24T00:00:00Z,22806544.01174379
2021-08-25,2021-08-25T00:00:00Z,27129732.20356047
