date,0 ~ 1 USD,1 ~ 10 USD,10 ~ 100 USD,100 ~ 1K USD,1K ~ 10K USD,10K ~ 100K USD,100K ~ 1M USD,1M ~ USD
2024-01-02,22413.99639491,1194176.67116135,13983506.82462904,103678851.40456416,372690963.61870646,1390982393.151358,4995567126.651999,31514257567.987858
2024-01-03,26357.4693603,1423356.87450855,14360441.03115727,96200510.3422217,374942108.1729131,1334702488.351296,5284240278.473467,30415092118.671627
2024-01-04,31247.69731283,954059.18967245,17880256.21484262,108078331.54396167,366511493.1720437,1475678425.193297,7218931147.589326,36475794270.87784
2024-01-05,22936.02457963,944626.95362652,9057778.34666385,89398016.1052243,319081033.66127706,1389468087.1828182,6425942384.506332,26108547053.11649
2024-01-06,22415.16521238,750865.25424651,15374564.48307704,80800155.47201721,264698203.6465372,1494637961.122694,4024249192.053412,18753209885.60385
2024-01-07,24310.04708402,608679.98881596,11142566.02745012,70292431.4239332,261283310.1089213,1250367172.989514,3514044470.1936502,20165507894.326103
2024-01-08,19288.62967435,637090.32461257,9368132.32242053,87881234.13161391,352456863.4452394,1487380314.2503014,5134218287.409281,31223669797.36229
2024-01-09,20926.65285541,1105217.28245758,13170613.16958915,101828213.49291448,403967368.865567,1785864399.9725392,6200338621.699458,44677767093.50895
2024-01-10,17746.79886028,727596.2581925,10894311.96335653,91635540.92473356,352653657.8782986,1930679907.8765435,6156052091.10481,51678675107.065285
2024-01-11,21811.75818598,802769.63635381,16919976.07710495,116719237.45245051,405270386.1849445,1768649601.8384445,6577031240.278001,44816442193.42929
2024-01-12,18550.22192585,731869.86918138,18975890.19427144,122721254.16596527,429415132.3391284,1413026904.3457491,6071353512.826035,56503702074.45796
2024-01-13,11891.88113021,2641408.97249343,7246955.77552741,58566068.0094771,224364193.380914,953164857.8302248,4043520879.6499367,25120270531.88316
2024-01-14,8966.28178596,1966233.20984437,6368575.58639565,46929330.12401242,186207207.3115819,821787807.0638211,3726614269.914735,16789559731.60803
2024-01-15,14301.45667489,1221718.55092551,8329210.26056034,70356383.9221454,284678705.8442165,1166758427.2015247,4903962194.505776,23676600655.61627
2024-01-16,12272.20981678,1378882.93278832,7902824.08291899,69632706.3270007,264234455.3925812,1102555570.5841308,5014001327.499061,33122931085.528103
2024-01-17,11472.26980631,910036.22447374,8400185.94890292,79536992.2584729,305622442.0859364,1323562513.367945,6659285352.033173,43343414260.04608
2024-01-18,12799.46781002,1036274.10785615,12904214.03872062,89998953.42208111,361372781.317463,1430601007.136023,6667919504.600953,39182022819.3319
2024-01-19,15106.17131381,654280.85900141,11489164.19068043,87786206.1837432,366906004.9157136,1308991571.2914348,5255081641.479919,31863414073.930923
2024-01-20,15624.37006242,633670.64113948,13822131.50408196,83771372.06353685,354219865.7055339,1141645707.199501,4109438833.227048,16393592237.718468
2024-01-21,11885.02851444,433211.0053122,16540965.93379075,88662061.06997582,360030484.42624176,856893638.6210568,3582063945.1769934,18807389134.08353
2024-01-22,22299.59084243,987475.65474195,16214433.82912372,95090368.83140443,322018456.9250568,1221417928.857808,5363944215.254718,37726585320.49258
2024-01-23,18381.80322864,823372.01062081,15716772.17688957,91471064.87459838,312849789.7699614,1292689050.0606537,5724801637.677065,30889500755.67493
2024-01-24,21029.15435054,676068.69135165,14876758.7015572,107137354.19445394,326248475.23564994,1228763813.2357924,5406827080.067961,37207304577.777084
2024-01-25,15882.97248088,629099.90683907,25786419.81684664,132454551.01650466,291132063.1687844,1199089048.8836665,5151336195.607393,33529549628.14999
2024-01-26,19731.44626523,861397.56108284,10712851.0837372,87547943.21130563,304172769.12324446,1351940690.9843102,5488732457.800421,36634291778.78527
2024-01-27,17294.1341087,1021972.78295252,12632559.98436742,75163878.713307,240488244.7421749,980888035.9005022,4019758195.866664,21576416301.524364
2024-01-28,15226.59892311,1069111.24399016,7730094.98437331,61049040.31580113,204996997.56458643,906971944.4716944,3677152327.794181,14254392715.420853
2024-01-29,15425.59784682,892929.31401325,9967942.90945865,81767819.88288361,286366384.6414189,1283367263.2792072,5355218047.34814,31897055773.580257
2024-01-30,22344.71105444,963090.39521993,9754735.49743571,85187253.40928239,319624208.27124715,1317266237.665282,5779076520.65518,41562244523.80906
2024-01-31,15656.36137754,835811.58057786,10448423.25421936,97691407.65226084,337537714.6815249,1335429556.0610712,5744358019.955633,50970756032.59583
2024-02-01,21738.4048927,685546.4340306,14707384.27506516,93493029.37439424,330026145.14114046,1454447455.8620903,5737522171.833389,33965629014.89357
2024-02-02,23993.20419565,787625.79909549,18359272.0200532,106120016.51029648,342798199.5761156,1317939251.968584,5143723269.544658,29851965023.88433
2024-02-03,20377.18667097,954635.30790017,11034257.48107135,66849513.82803246,230113601.64793348,1012752602.410086,3633721762.639175,20786978744.05695
2024-02-04,26772.40321746,614786.91008687,17897825.79281577,83433216.83183938,262219043.5988416,956643426.3363994,3955131792.618588,17993774768.153564
2024-02-05,20486.09865962,480942.90983479,21851702.55182729,100374836.79197729,336111803.358181,1227711171.8344915,5365515400.503275,29207950411.876377
2024-02-06,20824.22834059,520128.6902294,24020477.23099956,106674479.40330082,349391287.8995527,1248123174.3865995,5027614755.939078,33260717167.12622
2024-02-07,16813.90173214,1063994.4415744,15763727.06837089,88471785.90743446,313467824.9347689,1232583653.8079162,4896186411.882528,30035963159.31179
2024-02-08,44855.37023394,379159.21487094,14552146.65240985,94437301.08395451,362933417.28846514,1438895546.1790552,5663404228.613198,35535502610.79523
2024-02-09,34356.75283305,505241.08752481,17221142.63518445,111758110.48911846,398166819.7101329,1678567265.2962637,6351079518.971764,40421356240.0114
2024-02-10,22123.5789331,1164928.18048091,16324740.15248735,93887864.95051146,290895067.4897268,1157775094.1674364,4688190626.434833,23471763427.68997
2024-02-11,36617.24067518,893445.27259741,14193143.58986853,78321694.41225724,279064479.0064786,1115957878.4102852,4477589473.744533,24687289512.658623
2024-02-12,40425.0810685,611710.64502781,18697933.26673644,113605202.63179584,404784467.6571388,1721431924.7173722,6512081625.872013,38763741032.69825
2024-02-13,33146.96083237,364486.89807236,15286156.26376956,95782047.01247346,397110301.3318816,1661316173.4920745,6547995574.110547,44438505736.00956
2024-02-14,25817.00472195,296109.18185496,9641336.60028481,77339000.00270887,339481388.1237031,1629872163.98691,7077937965.810957,53803130690.39738
2024-02-15,23329.36382867,349604.50148345,12924862.28316069,98406704.56580168,384962825.5203368,1664856577.5310757,7163907986.361905,41528191364.8776
