date,0 ~ 0.01 BTC,0.01 ~ 0.1 BTC,0.1 ~ 1 BTC,1 ~ 10 BTC,10 ~ 100 BTC,100 ~ 1K BTC,1K ~ 10K BTC,10K ~ BTC
2025-03-30,801.59126715,2296.72012959,10113.64670844,42540.80814503,134164.0067819,67772.93037664,110870.31136455,30671.60279425
2025-03-31,997.32115943,3331.07267824,14419.33300482,72611.11169943,189888.53531896,190690.37055054,136884.14728495,101314.36143815
2025-04-01,1073.23518661,3628.01218034,15561.54519296,63880.03814076,203413.35250246,151143.45237936,77521.85682898,56311.97349617
2025-04-02,1103.82058303,3625.71186093,15661.09722584,58287.96743846,211667.42019298,169434.32928069,106539.73096763,37536.13908082
2025-04-03,1644.19101228,3423.82552765,15016.34983501,55661.62550467,235219.28108441,219834.49788839,100747.70341063,37489.4010101
2025-04-04,1494.76309574,3319.82831177,13816.04538419,55470.92860407,218945.60570062,180070.94443746,92622.26910131,18698.90074167
2025-04-05,954.21602412,2537.5017611,10866.97329089,41079.88238969,152212.03604666,68532.39515213,28487.64560356,56145.50272038
2025-04-06,835.95113632,2601.41390846,12343.96786992,46783.3651109,170719.92625786,73238.00967863,76085.16839399,56255.03377714
2025-04-07,1093.83642589,3720.044234,17713.41176542,80404.25531462,292969.89679391,218960.51104231,139298.7764405,37477.34720174
2025-04-08,1097.11298757,3451.5654644,14863.7809458,64035.20849676,234550.46397324,162398.63038861,93273.11313385,37505.25875806
2025-04-09,994.62000571,3751.67410911,16226.99044254,66620.78235637,252372.0580956,255338.86118897,157297.61591115,37610.86606611
2025-04-10,1064.50250664,3404.90887955,15215.80864227,65762.78928593,212574.70716339,174795.61398247,132945.36275418,75394.34642987
2025-04-11,1165.85304514,3456.18989328,14867.16520988,63433.31834151,234696.41179291,163136.48927052,131085.12408919,56478.44572514
2025-04-12,1078.36488605,2765.4361562,12856.45510818,52850.78930455,188805.30934238,95798.00557975,36630.03898609,37637.47384159
2025-04-13,997.89306402,2408.00183425,10677.33219334,52361.63174533,165136.59643179,63640.42016102,65872.87724616,56518.33612107
2025-04-14,1166.52076547,3361.41038435,14690.12731261,61021.300051,216448.83184884,116981.5866798,84283.88163938,37678.60407091
2025-04-15,1159.78647854,3289.61005244,14541.53963447,63182.98906136,201982.76245517,127683.23626049,124967.71488024,131820.70068626
2025-04-16,1148.68514946,3150.7602919,13949.62426334,57367.22095345,225639.98916247,147481.98105428,49534.95856233,37640.41669439
2025-04-17,1280.01288634,3282.41663215,14404.56363325,49683.22708417,238367.99152211,138913.67178653,93917.44882877,204728.79277769
2025-04-18,1158.6959856,2793.97833571,12464.84771764,45839.32683907,203406.8619313,76295.54662163,118783.96149052,71378.78104682
2025-04-19,1049.34612115,2565.56628802,11513.52091731,43099.64283599,141857.02781498,61783.24654296,81113.88350225,37732.70191707
2025-04-20,969.27288487,2307.25328415,10225.71193361,37568.74777864,146680.73910628,49174.14725978,54609.63388769,37738.35524129
2025-04-21,1145.96413398,3084.11291069,13553.75566152,53804.60421439,224820.20419723,119081.40834967,117021.36142165,56616.19315081
2025-04-22,1369.46327371,3823.17247006,16851.30970597,60319.83818382,277573.80782839,207383.44374719,137017.93738637,52603.63342297
2025-04-23,1061.74305735,3479.73252083,16148.91619924,57016.80776886,313127.83497026,202288.37093749,148080.14956971,219626.59689533
2025-04-24,1214.29971519,3605.75503467,15146.91155712,56082.15414266,247796.92535091,233664.78971009,144303.06975751,52563.27491094
2025-04-25,1174.90735183,3460.00142381,14653.3622675,56700.03569044,278091.80205778,192423.37294705,115931.72411307,112130.96781156
2025-04-26,801.53408476,2488.50729829,11216.97101972,41791.95816585,185202.57697018,59342.50952322,44204.73672206,28849.9412388
2025-04-27,1001.42133399,2333.35409448,10506.07753941,47158.92857352,173297.41715381,41410.47288993,64552.67751518,56770.71426943
2025-04-28,1233.30456038,3215.94887255,14185.15051064,62874.62542727,247410.97155964,200604.77198728,96349.12086472,75726.55342179
2025-04-29,1267.47318528,3333.61801692,15211.30272492,53878.12412894,248043.94011038,179982.98462662,164159.01040131,56783.21554247
2025-04-30,1194.95856843,3371.71428524,16321.36563945,55212.44298387,240347.55228267,163846.96283588,142391.58782061,37902.77798206
2025-05-01,1123.96792772,3138.32851883,14264.81339327,54249.70175024,240262.51952917,176306.76915017,244183.98331145,37903.61777904
2025-05-02,1295.141155,3312.67143868,14777.91652354,63893.94583276,244571.32553751,190175.81472962,190232.51322949,56886.10971687
2025-05-03,994.35722438,2602.91792238,11811.78304255,44185.54517876,158125.99234091,115993.45825899,121173.60201208,52668.67183109
2025-05-04,876.32628007,2172.54431413,10518.54545368,39110.4085429,155707.98438589,58572.49701401,170345.27760746,56950.53624016
2025-05-05,1097.05993386,3060.18938417,14947.26187909,57932.16788523,216785.9298241,248163.87744046,215556.72906982,56966.31418723
2025-05-06,1050.32522704,3094.79473567,13709.21285953,55804.87534749,217729.67303341,191710.79432266,212841.41453138,37955.2173121
2025-05-07,1175.69878682,3350.76021936,15689.75517594,60995.08387553,250776.16173888,198686.92278498,170929.41672764,37940.55876303
2025-05-08,1280.09363509,4081.52653425,18953.0239555,71565.97054955,277330.09483812,238693.17983674,108416.07029224,18981.08720623
2025-05-09,1165.52331499,3868.8668291,18603.61418255,72040.92749368,273385.61714958,218108.64312294,181944.90128177,71526.39299366
