date,Average Dormancy
2022-04-27,0.60769885
2022-04-28,1.06315391
2022-04-29,1.56254334
2022-04-30,1.16363548
2022-05-01,1.20072915
2022-05-02,2.35973755
2022-05-03,1.47731732
2022-05-04,1.67399863
2022-05-05,0.8632211
2022-05-06,1.15881598
2022-05-07,0.5992873
2022-05-08,1.32199589
2022-05-09,2.41606486
2022-05-10,1.41636003
2022-05-11,3.60814256
2022-05-12,1.97431204
2022-05-13,4.43526878
2022-05-14,10.51246859
2022-05-15,1.12364724
2022-05-16,1.78513501
2022-05-17,2.71906756
2022-05-18,1.88878017
2022-05-19,5.50463355
2022-05-20,3.60921878
2022-05-21,2.0940816
2022-05-22,1.59740923
2022-05-23,2.90233384
2022-05-24,2.73503169
2022-05-25,3.41379099
2022-05-26,2.48829328
2022-05-27,4.06271545
2022-05-28,1.38308056
2022-05-29,2.81750141
2022-05-30,2.69792726
2022-05-31,2.93366273
2022-06-01,3.82156573
2022-06-02,9.16738411
2022-06-03,5.40053341
2022-06-04,6.10664484
2022-06-05,1.6246234
2022-06-06,2.65307205
2022-06-07,5.42291829
2022-06-08,4.2563455
2022-06-09,4.74964027
2022-06-10,4.65058708
2022-06-11,3.59530848
2022-06-12,3.23460378
2022-06-13,3.77262955
2022-06-14,1.72567885
2022-06-15,1.3674123
2022-06-16,0.78253079
2022-06-17,6.35455503
2022-06-18,1.67668822
2022-06-19,1.1656847
2022-06-20,1.47190845
2022-06-21,2.53732665
2022-06-22,2.93027511
2022-06-23,1.60072774
2022-06-24,2.66706466
2022-06-25,9.46415816
2022-06-26,1.21301354
2022-06-27,2.37782797
2022-06-28,2.3028881
2022-06-29,3.08121537
2022-06-30,3.19489993
2022-07-01,1.59577532
2022-07-02,1.18586654
2022-07-03,2.29641489
2022-07-04,0.82969377
2022-07-05,1.21097829
2022-07-06,2.80496033
2022-07-07,1.64286251
2022-07-08,1.81812022
2022-07-09,1.83113704
2022-07-10,1.19212761
2022-07-11,4.18473716
2022-07-12,1.26339177
2022-07-13,0.51432889
2022-07-14,2.55007151
2022-07-15,3.82791326
2022-07-16,0.89386085
2022-07-17,0.95174387
2022-07-18,2.04466836
2022-07-19,12.3687792
2022-07-20,3.73425344
2022-07-21,9.42407729
2022-07-22,2.96660742
2022-07-23,1.96484425
2022-07-24,1.72796584
2022-07-25,1.80576163
2022-07-26,1.18240966
2022-07-27,1.14434497
2022-07-28,1.21207956
2022-07-29,1.34824936
2022-07-30,1.37167828
2022-07-31,3.04679538
2022-08-01,0.98173329
2022-08-02,1.54610567
2022-08-03,1.01415714
2022-08-04,2.78822803
2022-08-05,0.70547823
2022-08-06,1.50636118
2022-08-07,3.22664737
2022-08-08,0.81219789
2022-08-09,2.53101987
2022-08-10,3.40311746
2022-08-11,1.17050921
2022-08-12,2.0467197
2022-08-13,1.3084088
2022-08-14,1.58483485
2022-08-15,1.08861364
2022-08-16,1.02128188
2022-08-17,1.58601516
2022-08-18,2.48173541
2022-08-19,1.79835838
2022-08-20,0.68156071
2022-08-21,0.71926223
2022-08-22,1.07789888
2022-08-23,0.99303918
2022-08-24,1.09363085
2022-08-25,1.14923692
2022-08-26,2.06162731
2022-08-27,1.27141831
2022-08-28,9.81614944
2022-08-29,5.15912096
2022-08-30,3.23626271
2022-08-31,0.89371824
2022-09-01,1.39568133
2022-09-02,1.5940676
2022-09-03,1.68270848
2022-09-04,6.96803396
2022-09-05,0.78391951
2022-09-06,1.80301426
2022-09-07,1.2316476
2022-09-08,0.87791132
2022-09-09,1.13414554
2022-09-10,1.29983893
2022-09-11,2.27746567
2022-09-12,1.80175924
2022-09-13,5.55709452
2022-09-14,1.58180301
2022-09-15,1.66726424
2022-09-16,1.05316249
2022-09-17,1.25780279
2022-09-18,0.83244741
2022-09-19,2.65281809
2022-09-20,1.29854832
2022-09-21,1.5266483
2022-09-22,1.36621516
2022-09-23,1.61613623
2022-09-24,0.99123939
2022-09-25,1.44159437
2022-09-26,1.53551646
2022-09-27,4.04551773
2022-09-28,1.84847926
2022-09-29,2.19266267
2022-09-30,3.32688094
2022-10-01,1.6105183
2022-10-02,1.73670456
2022-10-03,1.82461252
2022-10-04,2.19772253
2022-10-05,3.50220802
2022-10-06,2.99133619
2022-10-07,3.74835046
2022-10-08,3.28799805
2022-10-09,1.14276721
2022-10-10,1.98724203
2022-10-11,2.49700517
2022-10-12,4.01824129
2022-10-13,1.77229006
2022-10-14,2.45896661
2022-10-15,2.08829515
2022-10-16,3.88481684
2022-10-17,15.25350872
2022-10-18,24.66154452
2022-10-19,3.41106465
2022-10-20,1.85178034
2022-10-21,2.48129286
2022-10-22,10.85753636
2022-10-23,1.90468008
2022-10-24,2.43212259
2022-10-25,6.45590243
2022-10-26,7.5100109
2022-10-27,4.69385612
2022-10-28,2.59490229
2022-10-29,1.89546722
2022-10-30,2.26887944
2022-10-31,3.02955307
2022-11-01,3.23772885
2022-11-02,7.42049608
2022-11-03,2.36729164
2022-11-04,10.4302041
2022-11-05,4.80825334
2022-11-06,2.30530596
2022-11-07,5.32230707
2022-11-08,6.53938123
2022-11-09,7.13278915
2022-11-10,4.27758889
2022-11-11,11.60374717
2022-11-12,12.35009846
2022-11-13,1.33910951
2022-11-14,4.41702234
2022-11-15,5.27227642
2022-11-16,16.0554424
2022-11-17,11.77811798
2022-11-18,42.05600204
2022-11-19,3.44829596
2022-11-20,5.70800767
2022-11-21,7.38412152
2022-11-22,10.75651974
2022-11-23,68.19428085
2022-11-24,9.50628634
2022-11-25,3.96529864
2022-11-26,5.18064274
2022-11-27,5.38080763
2022-11-28,9.86542497
2022-11-29,9.01823247
2022-11-30,8.33329646
2022-12-01,15.66290521
2022-12-02,11.16219075
2022-12-03,4.57860683
2022-12-04,10.12114489
2022-12-05,18.25570972
2022-12-06,9.58065096
2022-12-07,5.98168308
2022-12-08,6.34514727
2022-12-09,13.12932782
2022-12-10,6.6701249
2022-12-11,7.58973993
2022-12-12,6.61831652
2022-12-13,8.81639762
2022-12-14,9.40159004
2022-12-15,5.34245553
2022-12-16,7.29427147
2022-12-17,7.64671222
2022-12-18,5.65895787
2022-12-19,13.5412278
2022-12-20,4.25434005
2022-12-21,8.14468453
2022-12-22,7.87602638
2022-12-23,10.75850729
2022-12-24,6.44042866
2022-12-25,10.78326148
2022-12-26,4.13197913
2022-12-27,6.65119345
2022-12-28,20.08033385
2022-12-29,15.40181059
2022-12-30,12.66960096
2022-12-31,31.68157061
2023-01-01,7.56580749
2023-01-02,7.64285779
2023-01-03,10.04400185
2023-01-04,9.46801148
2023-01-05,35.05390762
2023-01-06,10.93089526
2023-01-07,10.86989866
2023-01-08,5.98568195
2023-01-09,5.43058633
2023-01-10,12.41794589
2023-01-11,12.4195739
2023-01-12,7.60438475
2023-01-13,7.38603934
2023-01-14,5.59435477
2023-01-15,7.33835617
2023-01-16,19.84232423
2023-01-17,6.89801993
2023-01-18,11.56457586
2023-01-19,9.62550609
2023-01-20,7.41101895
2023-01-21,5.7561357
2023-01-22,4.37076731
2023-01-23,6.42199334
2023-01-24,7.81756348
2023-01-25,7.22157854
2023-01-26,38.42656191
2023-01-27,16.3950601
2023-01-28,5.56471652
2023-01-29,6.05863472
2023-01-30,5.1454175
2023-01-31,7.34080509
2023-02-01,11.2979135
2023-02-02,5.38055752
2023-02-03,9.72860718
2023-02-04,5.70110569
2023-02-05,7.49614685
2023-02-06,6.55017062
2023-02-07,6.2087152
2023-02-08,9.00218913
2023-02-09,8.27903814
2023-02-10,4.99904175
2023-02-11,4.8768263
2023-02-12,5.46020866
2023-02-13,5.65954131
2023-02-14,4.10842284
2023-02-15,7.88709035
2023-02-16,6.58388152
2023-02-17,5.16476439
2023-02-18,3.81338888
2023-02-19,9.34835701
2023-02-20,4.25262092
2023-02-21,6.18633733
2023-02-22,9.42092952
2023-02-23,4.81518673
2023-02-24,11.0305264
2023-02-25,5.9635961
2023-02-26,6.38478251
2023-02-27,12.33449533
2023-02-28,17.17013911
2023-03-01,17.31266011
2023-03-02,6.36548109
2023-03-03,5.95558378
2023-03-04,7.11615401
2023-03-05,17.38062315
2023-03-06,9.94453335
2023-03-07,26.88052145
2023-03-08,6.38132944
2023-03-09,9.65597872
2023-03-10,5.84388133
2023-03-11,7.18778956
2023-03-12,5.4577196
2023-03-13,10.86113416
2023-03-14,12.14616901
2023-03-15,12.23568235
2023-03-16,11.12967423
2023-03-17,7.95756221
2023-03-18,5.54352308
2023-03-19,5.33143934
2023-03-20,5.98454454
2023-03-21,6.42101063
2023-03-22,8.73739652
2023-03-23,10.75556988
2023-03-24,8.36547535
2023-03-25,4.72573988
2023-03-26,6.9969483
2023-03-27,10.02993556
2023-03-28,4.51925713
2023-03-29,4.13153832
2023-03-30,60.27873925
2023-03-31,14.05134535
2023-04-01,5.75615283
2023-04-02,3.49517609
2023-04-03,6.69765084
2023-04-04,8.88285853
2023-04-05,11.08483263
2023-04-06,9.76333043
2023-04-07,10.43423892
2023-04-08,3.80413807
2023-04-09,2.81939108
2023-04-10,8.20276956
2023-04-11,21.35987031
2023-04-12,15.86551659
2023-04-13,10.94817075
2023-04-14,12.39729357
2023-04-15,4.48166117
2023-04-16,5.2969013
2023-04-17,6.05023736
2023-04-18,7.32956271
2023-04-19,34.67392375
2023-04-20,6.53716477
2023-04-21,8.07627615
2023-04-22,4.28027639
2023-04-23,6.57880374
2023-04-24,6.59608575
2023-04-25,6.39874317
2023-04-26,6.50978283
