date,Supply-Adjusted CDD
2021-11-16,1.18737353
2021-11-17,0.9102614
2021-11-18,0.37546019
2021-11-19,0.39646575
2021-11-20,0.33579562
2021-11-21,0.26379644
2021-11-22,0.54597807
2021-11-23,0.54615043
2021-11-24,0.40015323
2021-11-25,2.18598172
2021-11-26,0.60196391
2021-11-27,0.15446224
2021-11-28,0.32952607
2021-11-29,0.50860226
2021-11-30,0.50423583
2021-12-01,0.69188692
2021-12-02,0.37652187
2021-12-03,0.44281808
2021-12-04,0.44362771
2021-12-05,0.33285145
2021-12-06,0.53010675
2021-12-07,1.1039292
2021-12-08,0.38884661
2021-12-09,0.759038
2021-12-10,0.41219673
2021-12-11,0.35991852
2021-12-12,0.1397994
2021-12-13,0.50563385
2021-12-14,1.06308962
2021-12-15,0.43271828
2021-12-16,0.57198973
2021-12-17,0.32727801
2021-12-18,0.28462307
2021-12-19,0.17001006
2021-12-20,0.37842395
2021-12-21,0.33987327
2021-12-22,0.35840305
2021-12-23,0.56418907
2021-12-24,0.19453141
2021-12-25,0.30155211
2021-12-26,0.34959331
2021-12-27,0.30060247
2021-12-28,0.31989402
2021-12-29,0.4785331
2021-12-30,0.84741381
2021-12-31,1.00874278
2022-01-01,0.30759989
2022-01-02,0.10627698
2022-01-03,0.39097131
2022-01-04,0.38770191
2022-01-05,0.46808324
2022-01-06,0.67171258
2022-01-07,0.39365811
2022-01-08,0.17650676
2022-01-09,0.19093401
2022-01-10,0.38925632
2022-01-11,0.28733937
2022-01-12,0.47830533
2022-01-13,0.21370812
2022-01-14,0.23916241
2022-01-15,0.12778631
2022-01-16,0.15717997
2022-01-17,0.34567332
2022-01-18,0.31113463
2022-01-19,0.52118612
2022-01-20,0.49927399
2022-01-21,0.53867946
2022-01-22,0.48160714
2022-01-23,0.49821037
2022-01-24,0.54204857
2022-01-25,0.65656861
2022-01-26,0.26010964
2022-01-27,0.53848048
2022-01-28,0.28981617
2022-01-29,0.40211003
2022-01-30,0.26180921
2022-01-31,0.25411326
2022-02-01,10.48930834
2022-02-02,0.20748461
2022-02-03,0.32350675
2022-02-04,0.20640568
2022-02-05,0.19864434
2022-02-06,0.25576726
2022-02-07,0.43696425
2022-02-08,0.36366693
2022-02-09,0.32942586
2022-02-10,0.63168188
2022-02-11,0.45181792
2022-02-12,0.17133896
2022-02-13,0.18238182
2022-02-14,0.2282203
2022-02-15,0.33910877
2022-02-16,0.23210724
2022-02-17,0.47448822
2022-02-18,0.26294401
2022-02-19,0.14078313
2022-02-20,0.33981128
2022-02-21,0.79284672
2022-02-22,0.26315847
2022-02-23,0.68787403
2022-02-24,0.28770301
2022-02-25,0.46350893
2022-02-26,0.22749372
2022-02-27,0.37346906
2022-02-28,2.80679397
2022-03-01,0.47829178
2022-03-02,0.58370105
2022-03-03,0.61100257
2022-03-04,0.41748621
2022-03-05,0.1515159
2022-03-06,0.19514002
2022-03-07,0.74417349
2022-03-08,0.52662964
2022-03-09,0.65733409
2022-03-10,0.4237762
2022-03-11,2.10260904
2022-03-12,0.27931197
2022-03-13,0.19671494
2022-03-14,0.32459062
2022-03-15,0.32494263
2022-03-16,0.77164928
2022-03-17,1.14946804
2022-03-18,0.18199755
2022-03-19,0.28088731
2022-03-20,0.13605646
2022-03-21,0.32683262
2022-03-22,0.26211632
2022-03-23,0.29916717
2022-03-24,0.28463854
2022-03-25,3.05659795
2022-03-26,0.30436873
2022-03-27,0.15706224
2022-03-28,0.52331761
2022-03-29,1.95004684
2022-03-30,0.25837881
2022-03-31,0.44272085
2022-04-01,0.3954664
2022-04-02,0.1785435
2022-04-03,0.26174991
2022-04-04,0.63068875
2022-04-05,0.42521509
2022-04-06,0.33645201
2022-04-07,0.2629399
2022-04-08,0.29989643
2022-04-09,0.14458959
2022-04-10,0.14004098
2022-04-11,0.32861391
2022-04-12,1.12132088
2022-04-13,0.3736228
2022-04-14,1.9598132
2022-04-15,0.15988276
2022-04-16,0.09789976
2022-04-17,0.09091773
2022-04-18,0.18377281
2022-04-19,0.36474796
2022-04-20,0.33095345
2022-04-21,2.05352119
2022-04-22,0.43740867
2022-04-23,0.18692938
2022-04-24,0.12500078
2022-04-25,0.27236449
2022-04-26,0.37261165
2022-04-27,0.21712156
2022-04-28,0.38721855
2022-04-29,0.44093416
2022-04-30,0.23019609
2022-05-01,0.2534034
2022-05-02,0.79002436
2022-05-03,0.68394532
2022-05-04,0.55146811
2022-05-05,0.45218172
2022-05-06,0.51362488
2022-05-07,0.13525865
2022-05-08,0.35150695
2022-05-09,1.00341428
2022-05-10,0.63189328
2022-05-11,1.387961
2022-05-12,1.03899643
2022-05-13,1.57498966
2022-05-14,2.53999185
2022-05-15,0.16518622
2022-05-16,0.42573027
2022-05-17,0.5744132
2022-05-18,0.29189885
2022-05-19,0.79559632
2022-05-20,0.46106445
2022-05-21,0.16771385
2022-05-22,0.09969189
2022-05-23,0.32171505
2022-05-24,0.36812016
2022-05-25,0.34610015
2022-05-26,0.30306883
2022-05-27,0.59903636
2022-05-28,0.1142555
2022-05-29,0.22291758
2022-05-30,0.31920994
2022-05-31,0.69318409
2022-06-01,0.70659612
2022-06-02,1.08385954
2022-06-03,0.57173632
2022-06-04,0.42292546
2022-06-05,0.12901846
2022-06-06,0.30969775
2022-06-07,0.70827996
2022-06-08,0.42108822
2022-06-09,0.40789468
2022-06-10,0.58894298
2022-06-11,0.41758064
2022-06-12,0.401109
2022-06-13,1.57301807
2022-06-14,1.23973844
2022-06-15,1.26817929
2022-06-16,0.55145541
2022-06-17,3.90209336
2022-06-18,0.92839201
2022-06-19,0.30818135
2022-06-20,0.34136726
2022-06-21,0.55544174
2022-06-22,0.49854425
2022-06-23,0.24613841
2022-06-24,0.51092571
2022-06-25,0.87726049
2022-06-26,0.08721206
2022-06-27,0.37135919
