date,timestamp_utc,0d ~ 1d,1d ~ 1w,1w ~ 1m,1m ~ 3m,3m ~ 6m,6m ~ 12m,12m ~ 18m,18m ~ 2y,2y ~ 3y,3y ~ 5y,5y ~ 7y,7y ~ 10y,10y ~
2021-02-09,2021-02-09T00:00:00Z,3087591.52402943,80458.04618788,64017.29263219,133661.36525366,11174.08022125,8567.93141825,2195.80346285,2076.61905651,3078.75531807,5738.49095578,225.72264318,730.86339091,50.0
2021-02-10,2021-02-10T00:00:00Z,1957569.67985503,86745.80718284,27996.08325111,59668.23357518,11605.89870214,7025.6083574,5285.88158883,1739.06755304,1697.66240601,1883.91964501,328.0223537,282.53461372,0.0
2021-02-11,2021-02-11T00:00:00Z,2190142.00329889,103016.3548924,29292.68721585,39582.02151623,5053.15715634,4582.36081397,2546.36778185,1472.51952966,1317.76110083,3443.09881757,180.86478036,287.11127843,0.0
2021-02-12,2021-02-12T00:00:00Z,1955382.73544767,107878.50279269,29200.20711662,15739.72465994,20573.48948348,2712.64028674,3113.91285288,1780.17301745,2034.40978798,3564.24084455,84.59564748,596.67931803,0.0
2021-02-13,2021-02-13T00:00:00Z,1440542.39028924,41928.76824937,12603.82004246,9977.09364287,12317.47635154,1329.32442632,631.45758311,632.20018354,1742.74446582,1498.53225263,209.48429172,101.86710232,0.0
2021-02-14,2021-02-14T00:00:00Z,1799793.75744417,55284.38855424,10500.8800422,7803.55275101,2310.42876191,2209.71342436,1365.716098,1183.70670505,1265.90058893,2484.79231081,174.79991684,879.3759945,50.5
2021-02-15,2021-02-15T00:00:00Z,2151828.28951647,71371.91002004,36600.76873068,101936.45537104,3326.07714939,2231.5495315,1257.63662256,1428.53457044,761.03020142,1742.90990959,355.47693205,980.14559772,0.0
2021-02-16,2021-02-16T00:00:00Z,2275685.33772801,171670.23117592,33179.95475904,13426.76364465,5906.95111861,2663.77387489,2963.54248237,1491.15385984,1357.36415215,5132.9375235,406.80128116,668.82742957,0.0
2021-02-17,2021-02-17T00:00:00Z,1879261.13520857,83171.37353647,62325.25439857,27470.89884264,6762.62650254,5383.48266608,3356.46321352,2854.75257433,2336.78513999,3409.2422203,402.14494603,98.57695321,1.06
2021-02-18,2021-02-18T00:00:00Z,2020703.39607816,61902.09858278,36604.53318809,54911.29964294,6840.90679238,7912.22432817,1372.20907554,2230.10145599,5488.53425722,2739.39801048,153.89193881,1206.20596397,0.0
2021-02-19,2021-02-19T00:00:00Z,2019459.12445506,185320.24922634,55017.62378155,64985.88197069,19112.2506679,7783.99253451,1769.95686897,3375.55039912,2335.80673629,3862.27466852,1776.49346316,237.29997375,0.05
2021-02-20,2021-02-20T00:00:00Z,2031328.82949057,43768.94415137,36065.57707035,56334.75741227,3761.54824175,6608.37728789,6583.06173958,2689.30009508,2178.42510569,3979.83285705,898.45013404,325.41701244,25.0
2021-02-21,2021-02-21T00:00:00Z,1649286.83242779,64773.45564555,29432.99281647,21322.51504555,3464.17677039,3418.43372091,1623.56891722,2160.18635421,3830.74476619,3890.39219082,229.53112064,258.02062929,0.1
2021-02-22,2021-02-22T00:00:00Z,1792917.46939433,105956.4662832,46601.8857102,15434.9425154,6773.40681849,11847.04117533,2893.27644739,2965.86039937,1981.32526519,2362.84396708,468.21553042,207.42241995,0.0
2021-02-23,2021-02-23T00:00:00Z,1891236.18454849,108302.22669902,50794.57774608,78995.16906716,7004.72825094,10025.59564877,2153.42842929,2553.53266428,18372.07506558,2402.89818595,602.44905651,208.1294135,50.2
2021-02-24,2021-02-24T00:00:00Z,1959596.83223625,66727.17551728,27393.65207814,31911.78004535,5138.52622524,4136.33711659,824.30672338,5324.86517338,12744.16145549,3915.96725829,130.5251616,2481.87363239,100.0
2021-02-25,2021-02-25T00:00:00Z,2135697.42756002,88061.55144077,36285.4889341,27932.86172519,2660.40380074,4687.38560188,741.81361241,4637.58899518,9713.36268575,1625.57031161,85.95387406,325.76416654,0.0
2021-02-26,2021-02-26T00:00:00Z,1845576.07168595,92032.87410417,36506.53077251,28201.52952682,46596.10039609,6679.84583657,2390.74779943,6323.90238329,1336.18705689,2146.83924799,118.00462979,330.2993093,0.0
2021-02-27,2021-02-27T00:00:00Z,1482607.10794128,54164.01159449,117644.27791342,8890.50086919,2252.88279046,4426.72214912,1772.90737896,511.18627136,923.12053785,2659.13078827,665.92942267,69.50700296,0.0
2021-02-28,2021-02-28T00:00:00Z,1639114.98285085,60775.84259972,9324.69872552,12742.22577173,2103.31244559,1884.04125311,901.59291569,686.60243026,886.07916915,1881.73892709,98.72161137,309.85598248,1000.0
2021-03-01,2021-03-01T00:00:00Z,1608290.32943625,106538.45999567,34482.98441267,17249.93775868,9816.4539624,1843.15765031,1170.66287013,1189.54216745,886.14208124,1835.51451008,58.94293475,100.41488468,0.0
2021-03-02,2021-03-02T00:00:00Z,1745717.56771644,82928.19846117,18400.72785829,10824.93580827,5851.66193616,2802.44606476,5544.15156012,4557.3445495,9362.519112,1554.77684206,66.23636212,94.07438783,0.0
2021-03-03,2021-03-03T00:00:00Z,1728854.03831497,93167.32319756,29556.58710498,11445.01531849,4342.44839258,1703.27073011,1028.97676417,1091.73745175,1088.31169485,2068.56963813,103.9857962,105.29108601,50.05
2021-03-04,2021-03-04T00:00:00Z,1368812.67602244,90427.32577468,23469.39193527,22219.14716855,3411.73229,2305.78907075,1388.08203807,511.00226988,893.36483496,4090.68404829,49.44887382,199.72652731,50.0
2021-03-05,2021-03-05T00:00:00Z,1584358.49461388,119615.61581892,33852.9376333,20416.58714264,2126.8729337,1456.67029064,1162.69361482,4481.02270784,8746.03483849,2218.07947757,61.98411975,241.38891306,55.13
2021-03-06,2021-03-06T00:00:00Z,1456973.05990223,51441.30776482,8046.71716974,5277.78669033,1871.52103467,1883.36608383,2348.81393387,1032.10829024,1140.2256753,1748.53186592,93.66335564,120.54071106,0.05
2021-03-07,2021-03-07T00:00:00Z,2057017.43387553,42290.3948089,16971.96618723,6708.6896555,1822.88614976,2098.07216999,571.08455318,501.43285674,1183.97180981,843.16615802,130.44195736,118.9042587,0.0
2021-03-08,2021-03-08T00:00:00Z,1801867.37424541,90379.11413295,32189.23204804,8662.64464003,3533.486134,2220.1613115,4053.09422573,1968.42861001,10118.38403999,1810.3197135,122.64904958,2271.00237467,0.05
2021-03-09,2021-03-09T00:00:00Z,1797447.08598498,84212.30893079,40595.29458568,13021.74997476,3321.18845566,4946.85816815,990.96836403,1743.2416777,657.40175131,2714.71044758,44.86127993,188.52696174,0.55
2021-03-10,2021-03-10T00:00:00Z,1565035.46469692,70968.95236716,29220.9393957,24357.02616674,5958.66925978,4773.44466353,1274.39829133,961.83113197,954.76626343,2591.53942875,56.44722668,138.5177142,0.2
2021-03-11,2021-03-11T00:00:00Z,1497179.88058694,77217.06846269,34638.23154324,50226.57075798,6235.23152492,3347.86891905,2263.67811233,688.04252144,1975.31824062,1114.01733812,55.85084133,10517.76677224,0.0
2021-03-12,2021-03-12T00:00:00Z,1229753.63762845,76003.81127584,34972.07295891,43849.66705925,4009.91853278,3474.98922078,2296.35610856,541.94187407,716.43693139,6499.543396,755.45067767,182.90874422,0.0
2021-03-13,2021-03-13T00:00:00Z,1045707.9259575,63995.88313575,62157.62792882,13841.90954204,4092.40783496,1742.59831813,1134.42648047,758.30236114,970.43788442,2880.54665485,120.02309466,472.73709155,0.05
2021-03-14,2021-03-14T00:00:00Z,1189674.31358839,68015.15190711,19912.06940606,9130.67853438,3272.75323535,4326.90671447,1789.72083289,1307.55225184,2052.06325262,9694.86452967,165.84496312,379.00239635,2.83
2021-03-15,2021-03-15T00:00:00Z,1124123.83175208,103614.38310049,47319.61020515,14381.59494843,4421.06302159,3908.94602067,1011.17706025,475.29027115,1150.49348336,2118.56862262,1106.27211531,156.63257053,0.1
2021-03-16,2021-03-16T00:00:00Z,1247769.10176933,70774.79601624,65220.7095855,65257.79904103,3044.98321939,1936.89280927,500.71680006,805.67725705,973.5285929,3950.20908203,326.7396698,803.76734514,15.2
2021-03-17,2021-03-17T00:00:00Z,1343984.76009541,56464.96074464,16887.29988767,19670.88260212,6418.3872797,1137.85828407,2667.14386707,2730.78802631,7645.49138369,1307.03760092,57.67641138,124.49872756,2.58
2021-03-18,2021-03-18T00:00:00Z,1171347.92414855,80354.33338013,31558.6491938,11764.83430032,2898.74363417,2599.45066712,786.84325333,808.47777237,709.93671051,1265.15405249,104.38692829,506.50328645,0.0
2021-03-19,2021-03-19T00:00:00Z,1120598.73676299,72238.17658152,16164.4212557,7687.82654096,5347.26696939,2506.8816891,406.20152988,475.43690533,1344.03666954,941.1751208,91.96080678,451.18939303,0.05
2021-03-20,2021-03-20T00:00:00Z,1062380.42470491,40642.19131124,16426.62776813,6986.04829702,1565.19827048,1762.92743597,664.98028402,551.14720269,511.43346203,8429.16916508,77.41967483,147.60396663,0.55
2021-03-21,2021-03-21T00:00:00Z,1005343.15371421,44362.99557298,23353.92173852,28318.05257326,3158.78058236,1210.99147206,799.87035548,1253.9745446,551.41016619,1487.13913113,70.24712812,333.61043081,50.1
2021-03-22,2021-03-22T00:00:00Z,1160205.00016071,82803.24838185,18545.57547353,13578.72130962,9732.04604827,5743.78405882,3155.11934,1697.2651773,3582.90366905,2802.25154784,46.83436361,191.84524616,0.05
2021-03-23,2021-03-23T00:00:00Z,1594844.53353678,68330.0011912,121713.50058809,10733.93397294,3829.71041963,1845.15137866,1046.94489277,4725.579634,9407.90687868,1381.69543901,121.50292812,50.97308508,1000.0687396
2021-03-24,2021-03-24T00:00:00Z,1492737.80971359,59838.70966175,27226.2827647,44799.96304697,5841.49964692,2979.50474537,1797.59978571,4007.74784579,719.46244053,1109.86535807,76.82146143,177.03311787,0.16
2021-03-25,2021-03-25T00:00:00Z,1519311.51696317,77759.97026329,42389.39271058,46688.78367912,2329.04459333,6417.18382903,1387.31804237,5246.735375,8546.10544862,1236.62241739,428.8780287,1989.26918666,0.0
2021-03-26,2021-03-26T00:00:00Z,1314752.73535526,65147.59004355,34363.818775,23539.46995819,4071.67939843,5133.16108958,1519.03364172,575.53048274,3723.49058233,1763.28796215,142.16843274,360.75474457,0.05
2021-03-27,2021-03-27T00:00:00Z,1129457.00417536,50133.90634679,7251.62872167,25647.34621628,5689.85142315,6797.5165543,1836.46428605,1283.60125508,426.32746524,4589.30470351,25.88875081,123.63378802,0.05
2021-03-28,2021-03-28T00:00:00Z,869452.1043179,27551.01998304,7777.0631546,4428.10634652,3325.01132524,1029.96919064,630.75620951,2628.10253168,2078.86491932,1715.94803896,43.0079842,216.6966187,1.08
2021-03-29,2021-03-29T00:00:00Z,1436198.56557655,119407.02629582,19746.98918741,20517.8997389,5164.50756126,2809.21470701,1035.62549424,529.32242614,425.28469912,1122.57093625,86.27268952,403.15667264,0.05
2021-03-30,2021-03-30T00:00:00Z,1363836.52610876,62626.62004093,31486.99481411,17762.32282115,13736.06274821,2747.3575311,795.19598047,511.15708831,563.72102416,2371.46221376,38.94690907,1004.92777398,0.6
2021-03-31,2021-03-31T00:00:00Z,1212118.59693984,74402.59949125,36067.74559872,20621.3781662,5546.61451185,2466.06343276,4391.17412635,1594.88841451,2238.84370474,1772.14001765,254.69007242,1379.98941973,0.55
2021-04-01,2021-04-01T00:00:00Z,1233454.29845279,53424.13863309,31795.30640964,13132.14209183,6691.4585441,1548.52436223,3701.76231359,1701.76756321,9278.73152693,11360.93697662,62.6458237,97.40044536,0.0
2021-04-02,2021-04-02T00:00:00Z,1276490.44749917,54933.00448652,17353.53362778,18662.69748492,2794.49919785,1478.53775339,1022.47649713,417.9570917,653.06127746,6386.81338352,4031.05428647,76.00658349,0.05
2021-04-03,2021-04-03T00:00:00Z,1283400.94763825,32544.69339836,13611.55739348,6571.90977506,2165.98235584,1073.87708039,557.1226167,413.2947219,466.63554401,982.8868098,396.9691135,97.2727616,0.0
2021-04-04,2021-04-04T00:00:00Z,1074751.81545588,45596.7900294,16330.05994668,12699.32322701,1650.65140274,2412.84815927,1602.67631771,504.22169676,501.85354847,1285.76566234,55.45527363,118.81143095,0.0
2021-04-05,2021-04-05T00:00:00Z,1650942.3429118,53071.52400986,22826.30948157,10612.07181711,5304.10272479,4336.36507632,544.62036172,628.27176443,969.65628092,1562.0066662,222.51626687,322.20260988,0.0
2021-04-06,2021-04-06T00:00:00Z,1810893.37786241,63881.85738883,97993.34227167,48143.21825527,5386.77533891,69407.97595056,4870.2559502,1171.89370454,9050.50162271,797.58477443,258.28917021,131.12778961,50.0
2021-04-07,2021-04-07T00:00:00Z,1598811.21997425,50459.69124738,17523.44506633,19821.0133632,6062.45853422,2256.81479043,862.11718294,1391.91016233,993.62385095,1816.979827,373.95132781,132.43195909,0.0
2021-04-08,2021-04-08T00:00:00Z,1383423.1201045,54039.360344,26520.1483737,23990.10275383,6858.92639458,1768.02615311,827.71388564,722.18057388,476.66045801,1367.01135477,40.49628663,1265.92287072,1.59
2021-04-09,2021-04-09T00:00:00Z,1485428.42107479,60323.72047004,26798.94126117,9404.78003949,4702.44508331,2251.51587243,522.98806105,779.86085068,1562.70018286,1269.85615918,243.98493022,1315.01600926,50.05
2021-04-10,2021-04-10T00:00:00Z,1420625.07310462,59939.26608272,35669.1494665,12034.65518723,3486.89553329,2337.70157203,733.87906436,924.39542018,1148.19699854,1602.52541855,278.94095657,1141.85358622,52.06
2021-04-11,2021-04-11T00:00:00Z,1298397.75890396,28134.79190572,15520.26593447,6147.4891587,2744.87071475,2029.01042635,4728.5997672,576.08390035,8525.82246087,1546.08051972,114.59489675,537.0951675,39.12
2021-04-12,2021-04-12T00:00:00Z,1513818.83694936,82078.71349993,43055.17948541,11108.58580521,8196.94970214,3864.56434728,1602.10775603,869.00813284,8565.49341235,2647.93672636,303.77900856,273.79461514,0.05
2021-04-13,2021-04-13T00:00:00Z,1761663.85030854,53600.34685145,31792.97788379,30709.44090133,19245.95140877,4034.01479152,762.25985506,1037.76361721,2567.35028369,4013.70355261,201.30830545,306.83109916,0.0
2021-04-14,2021-04-14T00:00:00Z,1653786.19343759,77036.88589449,20617.78238673,24257.42051789,26853.25717765,3125.2820783,1494.1289316,1035.49091811,858.02806942,15059.50396808,219.31922792,287.16881955,0.38
2021-04-15,2021-04-15T00:00:00Z,1705428.79875751,69740.31750203,25611.23395729,12735.13237253,11069.63279674,1858.98529182,5208.64686432,1316.64406688,861.72544612,10821.03624143,102.29327544,1358.13057371,0.0
2021-04-16,2021-04-16T00:00:00Z,1699107.79427767,73860.04358238,31278.18291799,16236.28605198,11219.68921941,2414.72606259,761.32841757,556.49701972,623.26571168,1178.58597136,43.51064179,246.76856992,0.15
2021-04-17,2021-04-17T00:00:00Z,1036616.6859289,40841.60805802,38535.61367028,7442.3541368,6233.75036349,6658.16693087,822.32601015,534.0689351,685.86289094,2137.33312001,125.34092675,526.23036899,0.0
2021-04-18,2021-04-18T00:00:00Z,1422312.30583207,79014.46596361,35008.04260146,16520.55066245,4283.80669105,91611.97648353,1290.37561643,1355.28686867,1000.08714176,2130.01111465,59.10480532,239.68012184,152.06
2021-04-19,2021-04-19T00:00:00Z,1171092.32153932,66906.01097884,21782.90671144,7104.29308604,7154.46564967,2695.04133714,607.0626297,338.53974384,453.96290065,744.71407426,64.39913111,230.69463514,2.72
2021-04-20,2021-04-20T00:00:00Z,1676388.1837795,73891.27343798,69979.54742846,22783.85821445,12106.84858875,1582.64244531,4904.65545564,379.81917771,4688.87202966,1464.26813573,171.08406346,332.84079972,0.05
2021-04-21,2021-04-21T00:00:00Z,1824758.65483173,67387.87715111,16525.42503503,8099.87748714,3897.45247761,2719.76306868,916.93260833,977.04615626,3584.02384691,968.85124665,73.60818426,108.62690728,0.0
2021-04-22,2021-04-22T00:00:00Z,1994902.82788022,110077.05443856,21169.38663524,13674.51158609,40698.08946898,2269.92981877,1755.56238897,545.44954102,1184.87909045,1849.52502944,298.19849241,196.8114474,2.1
2021-04-23,2021-04-23T00:00:00Z,2005304.10670766,97773.87954497,28344.10117927,26456.48779175,7406.36845426,4125.49422203,4970.9499347,2141.57767574,1266.37203476,5915.50664706,43.76376941,285.76432824,0.05
2021-04-24,2021-04-24T00:00:00Z,1518666.63885967,35568.37062003,13527.68304155,10770.21448889,4137.54490441,1384.85937398,1014.25816666,478.11079603,1990.34049342,11755.54017279,98.60268365,1041.95818337,0.0
2021-04-25,2021-04-25T00:00:00Z,1526643.55323373,54121.83102883,27376.31702947,14635.22301202,2182.18231649,1151.00145307,765.37976349,538.92597907,391.47259841,8186.25674189,138.27894563,208.1855803,0.05
2021-04-26,2021-04-26T00:00:00Z,1971323.49471092,133098.81664794,20830.88554371,8476.66367428,6281.06387566,3683.22031395,826.83572682,984.73492899,3374.03197034,3533.55990098,343.25095039,99.69874387,0.0
2021-04-27,2021-04-27T00:00:00Z,2154756.51431442,66719.37158553,18608.09716414,18540.01846297,3109.68050078,2329.98305307,6333.74096043,622.52380453,2305.41946977,14008.63255617,160.99529654,288.42500824,0.1
2021-04-28,2021-04-28T00:00:00Z,1878875.31008573,81912.65560484,18547.05837387,12421.54787646,2769.41498277,3359.39908694,320.13828353,931.02332224,1474.3847767,3259.75063726,811.3656971,124.52517804,0.05
2021-04-29,2021-04-29T00:00:00Z,1883542.97922945,102274.14797265,32927.14301549,64737.15050212,7301.66877833,3844.72138568,15746.19759096,1053.74572018,372.24465468,899.91151436,10.75845633,61.51339975,0.05
2021-04-30,2021-04-30T00:00:00Z,2163412.05027329,68037.01411706,21796.54233917,8462.52746401,6305.98991633,3085.66476583,4859.86666441,389.38326314,9113.68212993,4128.7030465,98.16592927,494.33826969,0.11
2021-05-01,2021-05-01T00:00:00Z,1532229.95979879,42906.22413443,17844.08375246,6738.55164402,2449.697416,1059.39325099,573.12834874,2350.64622651,470.36976599,1333.9021539,94.11951458,166.01612712,0.05
2021-05-02,2021-05-02T00:00:00Z,1421559.84739197,39916.55733387,10075.96927424,8694.03691065,1972.652028,1156.24183928,5519.91130647,377.40522174,491.51154307,944.83694668,182.33539056,148.07765014,0.08
2021-05-03,2021-05-03T00:00:00Z,2012745.6110076,89708.07264079,30330.16654103,8362.2957991,6475.69184535,3497.15428866,640.45139423,2025.14004774,585.31642866,4728.96406675,123.91642645,183.71796051,20.23
2021-05-04,2021-05-04T00:00:00Z,2152544.8827212,65812.86066497,26596.19579705,11895.43120787,6656.39838486,7049.05829666,5109.39637696,692.95714737,1071.71494344,2303.44864084,56.04280343,605.1317809,0.38
2021-05-05,2021-05-05T00:00:00Z,1705701.34298945,47408.42174245,23191.32473669,32890.82838385,6295.5368746,4698.82549077,5288.45954856,653.0242836,642.52840139,1549.14858756,114.66382393,49.5800862,0.05
