date,Sum Coin Age
2022-07-16,24756091311.47986
2022-07-17,24773554448.86677
2022-07-18,24785467266.3488
2022-07-19,24763587292.749443
2022-07-20,24773401630.7524
2022-07-21,24757012973.26294
2022-07-22,24766521912.178085
2022-07-23,24780475789.361706
2022-07-24,24796522513.08301
2022-07-25,24808678969.79
2022-07-26,24821876114.7144
2022-07-27,24836670811.72719
2022-07-28,24851763761.22048
2022-07-29,24866390763.99053
2022-07-30,24883062197.793182
2022-07-31,24897157669.43287
2022-08-01,24912921073.78725
2022-08-02,24926181977.40694
2022-08-03,24941022285.46407
2022-08-04,24949661419.225647
2022-08-05,24965632454.33573
2022-08-06,24981334990.11378
2022-08-07,24995989297.14159
2022-08-08,25011028236.673622
2022-08-09,25020023329.72448
2022-08-10,25023014166.436203
2022-08-11,25037490855.901123
2022-08-12,25051651283.280445
2022-08-13,25068507875.78689
2022-08-14,25085642378.36673
2022-08-15,25100935794.813107
2022-08-16,25116696845.726906
2022-08-17,25130360724.311737
2022-08-18,25143275913.07037
2022-08-19,25154389545.67308
2022-08-20,25170490644.479286
2022-08-21,25187937017.96336
2022-08-22,25201694728.67573
2022-08-23,25215620577.098213
2022-08-24,25230878596.65874
2022-08-25,25246201457.85308
2022-08-26,25259316134.82986
2022-08-27,25274638662.67905
2022-08-28,25276209186.50856
2022-08-29,25276196313.445312
2022-08-30,25284243336.24932
2022-08-31,25299432458.44977
2022-09-01,25312779477.162346
2022-09-02,25325740928.56084
2022-09-03,25341602862.513847
2022-09-04,25342979147.362293
2022-09-05,25358808652.512955
2022-09-06,25366363806.97766
2022-09-07,25378378537.13352
2022-09-08,25393078500.59764
2022-09-09,25407563033.156628
2022-09-10,25423817163.881165
2022-09-11,25439951039.940804
2022-09-12,25454495270.48994
2022-09-13,25457853032.74463
2022-09-14,25469933265.70573
2022-09-15,25482210919.03578
2022-09-16,25498205605.38572
2022-09-17,25515003025.528564
2022-09-18,25532465908.46343
2022-09-19,25538881317.44164
2022-09-20,25552128092.896767
2022-09-21,25564227619.930286
2022-09-22,25578609698.136345
2022-09-23,25593186141.379368
2022-09-24,25610702886.2314
2022-09-25,25627346260.2745
2022-09-26,25641667563.25856
2022-09-27,25649398244.87744
2022-09-28,25662645340.15476
2022-09-29,25675842646.83196
2022-09-30,25686377881.37539
2022-10-01,25703263984.724422
2022-10-02,25720221736.77484
2022-10-03,25735033255.431946
2022-10-04,25748745734.08523
2022-10-05,25760368709.4476
2022-10-06,25774522225.158325
2022-10-07,25787055669.92266
2022-10-08,25801296256.28376
2022-10-09,25818562654.636475
2022-10-10,25833505613.75485
2022-10-11,25845888846.62981
2022-10-12,25855659048.9216
2022-10-13,25869940489.082203
2022-10-14,25884184570.63947
2022-10-15,25901575059.477104
2022-10-16,25917409051.14924
2022-10-17,25913401868.38473
2022-10-18,25877105017.548885
2022-10-19,25888288906.14312
2022-10-20,25903770341.313503
2022-10-21,25918775632.26697
2022-10-22,25924235182.867867
2022-10-23,25940954287.54514
2022-10-24,25955710742.047848
2022-10-25,25962431219.13586
2022-10-26,25962517374.028816
2022-10-27,25969232999.178
2022-10-28,25983824202.372185
2022-10-29,25999536987.7222
2022-10-30,26015691647.877605
2022-10-31,26028566480.90622
2022-11-01,26040926800.361584
2022-11-02,26041710914.6562
2022-11-03,26052817895.36415
2022-11-04,26033723144.35712
2022-11-05,26043798328.1159
2022-11-06,26053883328.73752
2022-11-07,26052310597.93071
2022-11-08,26057483110.169373
2022-11-09,26050360106.42471
2022-11-10,26052634031.00102
2022-11-11,26024562672.05104
2022-11-12,26012613807.971622
2022-11-13,26027539186.529545
2022-11-14,26032539610.837227
2022-11-15,26037424011.28234
2022-11-16,26021539008.16501
2022-11-17,26021713327.37768
2022-11-18,25965476172.809856
2022-11-19,25980469488.220028
2022-11-20,25990281718.094933
2022-11-21,25996834342.504955
2022-11-22,25998950007.882053
2022-11-23,25932124218.99527
2022-11-24,25942586101.02559
2022-11-25,25955737767.41465
2022-11-26,25970870212.113888
2022-11-27,25986322770.73218
2022-11-28,25995615236.169662
2022-11-29,26006496252.20001
2022-11-30,26018285864.88296
2022-12-01,26023655634.13073
2022-12-02,26033554045.252968
2022-12-03,26050045331.49509
