date,NVM Ratio
2021-10-06,1.30432137
2021-10-07,0.77595471
2021-10-08,1.05540244
2021-10-09,1.06269726
2021-10-10,1.63732753
2021-10-11,1.05777096
2021-10-12,1.16066646
2021-10-13,1.10195418
2021-10-14,1.10526727
2021-10-15,1.1096936
2021-10-16,1.28568345
2021-10-17,1.69185881
2021-10-18,1.20479145
2021-10-19,1.04707755
2021-10-20,1.33611571
2021-10-21,0.9219692
2021-10-22,1.21460871
2021-10-23,1.74033025
2021-10-24,2.07674966
2021-10-25,1.04665257
2021-10-26,1.1720836
2021-10-27,1.17668494
2021-10-28,1.06046082
2021-10-29,1.15367322
2021-10-30,1.42595986
2021-10-31,1.50581567
2021-11-01,1.00777827
2021-11-02,1.11834008
2021-11-03,1.07252779
2021-11-04,1.15414976
2021-11-05,1.0574755
2021-11-06,1.69873131
2021-11-07,1.71652758
2021-11-08,1.2926615
2021-11-09,0.89174082
2021-11-10,1.14759074
2021-11-11,1.12925084
2021-11-12,1.33411826
2021-11-13,1.7412489
2021-11-14,1.89916309
2021-11-15,1.04714342
2021-11-16,1.06964276
2021-11-17,1.1443623
2021-11-18,1.11047554
2021-11-19,1.17016481
2021-11-20,1.55158319
2021-11-21,1.54315671
2021-11-22,1.24677349
2021-11-23,1.30499032
2021-11-24,0.9515481
2021-11-25,1.18645916
2021-11-26,1.02115106
2021-11-27,1.65806815
2021-11-28,1.65072257
2021-11-29,1.12527465
2021-11-30,1.15903034
2021-12-01,0.97509579
2021-12-02,0.77436657
2021-12-03,0.99545573
2021-12-04,1.03499071
2021-12-05,1.00173316
2021-12-06,0.86690331
2021-12-07,0.95857131
2021-12-08,1.14630944
2021-12-09,0.73050575
2021-12-10,1.02335774
2021-12-11,1.42641495
2021-12-12,1.74129717
2021-12-13,0.94296776
2021-12-14,0.98588428
2021-12-15,0.83651398
2021-12-16,1.16897299
2021-12-17,0.89494717
2021-12-18,1.16955098
2021-12-19,1.64451273
2021-12-20,0.87293615
2021-12-21,0.91039605
2021-12-22,1.79460603
2021-12-23,0.99455293
2021-12-24,0.99573517
2021-12-25,1.25267805
2021-12-26,1.64356475
2021-12-27,0.96829248
2021-12-28,0.81795898
2021-12-29,0.67639771
2021-12-30,0.93197983
2021-12-31,0.71596304
2022-01-01,1.87622071
2022-01-02,1.63724712
2022-01-03,1.01701219
2022-01-04,0.91990192
2022-01-05,0.81805648
2022-01-06,0.90048083
2022-01-07,0.8516526
2022-01-08,1.192523
2022-01-09,1.39660803
2022-01-10,0.85633614
2022-01-11,0.88487592
2022-01-12,0.89288123
2022-01-13,0.9182385
2022-01-14,0.846844
2022-01-15,1.21422691
2022-01-16,1.39524914
2022-01-17,0.86752878
2022-01-18,0.97738
2022-01-19,0.8983103
2022-01-20,0.86054298
2022-01-21,0.65855851
2022-01-22,0.67875537
2022-01-23,1.19958539
2022-01-24,0.74712754
2022-01-25,0.89159066
2022-01-26,0.9070791
2022-01-27,0.86324251
2022-01-28,0.79997963
2022-01-29,1.07329946
2022-01-30,1.20209653
2022-01-31,0.74617603
2022-02-01,0.65943381
2022-02-02,0.74491042
2022-02-03,0.82283195
2022-02-04,1.01061193
2022-02-05,0.86106525
2022-02-06,0.98717585
2022-02-07,0.96719224
2022-02-08,0.80976221
2022-02-09,0.84176737
2022-02-10,0.78610769
2022-02-11,0.83810257
2022-02-12,0.6855132
2022-02-13,1.19140469
2022-02-14,1.00410862
2022-02-15,0.82252516
2022-02-16,0.97986186
2022-02-17,0.88848728
2022-02-18,0.854908
2022-02-19,1.05179417
2022-02-20,1.34001791
2022-02-21,0.91474051
2022-02-22,0.89759178
2022-02-23,0.96719419
2022-02-24,0.80566551
2022-02-25,0.85244635
2022-02-26,1.13668194
