date,Mean Coin Age
2022-03-11,1246.62979718
2022-03-12,1247.2794235
2022-03-13,1248.02707437
2022-03-14,1248.63989426
2022-03-15,1249.24495348
2022-03-16,1249.4218484
2022-03-17,1249.20974731
2022-03-18,1249.96527865
2022-03-19,1250.62340573
2022-03-20,1251.41347115
2022-03-21,1252.03348207
2022-03-22,1252.70355942
2022-03-23,1253.34919791
2022-03-24,1253.98892623
2022-03-25,1251.8837525
2022-03-26,1252.51308509
2022-03-27,1253.30260591
2022-03-28,1253.71390606
2022-03-29,1252.69805794
2022-03-30,1253.38141892
2022-03-31,1253.88557322
2022-04-01,1254.43202153
2022-04-02,1255.19387467
2022-04-03,1255.88106861
2022-04-04,1256.1775683
2022-04-05,1256.69997291
2022-04-06,1257.29042742
2022-04-07,1257.98419245
2022-04-08,1258.62560249
2022-04-09,1259.41320979
2022-04-10,1260.21252127
2022-04-11,1260.82564959
2022-04-12,1260.65312637
2022-04-13,1261.21707057
2022-04-14,1260.19976293
2022-04-15,1260.97407705
2022-04-16,1261.82194183
2022-04-17,1262.66524801
2022-04-18,1263.41137396
2022-04-19,1264.01090216
2022-04-20,1264.60660418
2022-04-21,1263.48422116
2022-04-22,1263.99558857
2022-04-23,1264.70919843
2022-04-24,1265.54294647
2022-04-25,1266.20216517
2022-04-26,1266.77359299
2022-04-27,1267.48048592
2022-04-28,1268.0410255
2022-04-29,1268.53045562
2022-04-30,1269.24533513
2022-05-01,1269.91473525
2022-05-02,1270.06580837
2022-05-03,1270.31519457
2022-05-04,1270.70470313
2022-05-05,1271.18998882
2022-05-06,1271.61873063
2022-05-07,1272.42206051
2022-05-08,1273.00707793
2022-05-09,1272.93715064
2022-05-10,1273.24226066
2022-05-11,1272.79472853
2022-05-12,1272.69758944
2022-05-13,1272.05753203
2022-05-14,1270.46139562
2022-05-15,1271.24348355
2022-05-16,1271.73620631
2022-05-17,1272.11595464
2022-05-18,1272.75976635
2022-05-19,1272.91471741
2022-05-20,1273.4042247
2022-05-21,1274.17950717
2022-05-22,1275.03157691
2022-05-23,1275.64302467
2022-05-24,1276.22143037
2022-05-25,1276.81746408
2022-05-26,1277.45528469
2022-05-27,1277.79782414
2022-05-28,1278.61296501
2022-05-29,1279.32594398
2022-05-30,1279.95327663
2022-05-31,1280.19653975
2022-06-01,1280.43247049
2022-06-02,1280.29940666
2022-06-03,1280.6676849
2022-06-04,1281.16820931
2022-06-05,1281.98051227
2022-06-06,1282.62000056
2022-06-07,1282.84689702
2022-06-08,1283.33834149
2022-06-09,1283.87098356
2022-06-10,1284.22774828
2022-06-11,1284.74631555
2022-06-12,1285.27720853
2022-06-13,1284.66354952
2022-06-14,1284.35829336
2022-06-15,1284.02069615
2022-06-16,1284.40784327
2022-06-17,1281.46151837
2022-06-18,1281.4827113
2022-06-19,1282.11570338
2022-06-20,1282.70486348
2022-06-21,1283.08489242
2022-06-22,1283.55048344
2022-06-23,1284.23405257
2022-06-24,1284.67291278
2022-06-25,1284.73187933
2022-06-26,1285.5860771
2022-06-27,1286.16002342
2022-06-28,1286.59640848
2022-06-29,1286.80269012
2022-06-30,1286.93678452
2022-07-01,1287.45229265
2022-07-02,1288.19081948
2022-07-03,1288.73564197
2022-07-04,1289.50562042
2022-07-05,1290.22517696
2022-07-06,1290.68539422
2022-07-07,1291.38837047
2022-07-08,1291.96247121
2022-07-09,1292.68950901
2022-07-10,1293.50296632
2022-07-11,1293.44205443
2022-07-12,1294.06965694
2022-07-13,1294.87396522
2022-07-14,1295.40969861
2022-07-15,1295.61972224
2022-07-16,1296.43232368
2022-07-17,1297.29418598
2022-07-18,1297.86236801
2022-07-19,1296.65808646
2022-07-20,1297.11849357
2022-07-21,1296.20143395
2022-07-22,1296.64328509
2022-07-23,1297.30846279
2022-07-24,1298.08185836
2022-07-25,1298.65790528
2022-07-26,1299.28072195
2022-07-27,1299.98496494
2022-07-28,1300.71495384
2022-07-29,1301.41836095
2022-07-30,1302.23593498
2022-07-31,1302.90883325
2022-08-01,1303.67576781
2022-08-02,1304.30358137
2022-08-03,1305.01823964
2022-08-04,1305.41392374
2022-08-05,1306.18548804
2022-08-06,1306.93822883
2022-08-07,1307.63690863
2022-08-08,1308.36205287
2022-08-09,1308.77140949
2022-08-10,1308.86452662
2022-08-11,1309.5618144
2022-08-12,1310.23650098
2022-08-13,1311.05855419
2022-08-14,1311.89763904
2022-08-15,1312.6352242
2022-08-16,1313.39590506
2022-08-17,1314.0550122
2022-08-18,1314.66847251
2022-08-19,1315.17306894
2022-08-20,1315.95082656
2022-08-21,1316.80012865
2022-08-22,1317.45694974
2022-08-23,1318.1108704
2022-08-24,1318.84555316
2022-08-25,1319.57795128
2022-08-26,1320.18752957
2022-08-27,1320.92580104
2022-08-28,1320.9384134
2022-08-29,1320.87000617
2022-08-30,1321.22061653
2022-08-31,1321.95128586
2022-09-01,1322.58909121
2022-09-02,1323.21058312
2022-09-03,1323.97577763
2022-09-04,1323.97505209
2022-09-05,1324.73584205
2022-09-06,1325.06908715
2022-09-07,1325.63351522
2022-09-08,1326.34637228
2022-09-09,1327.03925406
2022-09-10,1327.82015694
2022-09-11,1328.58342451
2022-09-12,1329.27660318
2022-09-13,1329.39250758
2022-09-14,1329.96820348
2022-09-15,1330.54547566
2022-09-16,1331.32502137
2022-09-17,1332.12815581
2022-09-18,1332.9729017
2022-09-19,1333.25127677
2022-09-20,1333.87666856
2022-09-21,1334.44690144
2022-09-22,1335.14188754
2022-09-23,1335.84390998
2022-09-24,1336.6945371
2022-09-25,1337.49906565
2022-09-26,1338.18102384
2022-09-27,1338.52815035
2022-09-28,1339.15394066
2022-09-29,1339.7801304
2022-09-30,1340.25599575
2022-10-01,1341.05791634
2022-10-02,1341.87398153
2022-10-03,1342.57930907
2022-10-04,1343.22329067
2022-10-05,1343.75295064
2022-10-06,1344.421557
2022-10-07,1345.00033286
2022-10-08,1345.66632567
2022-10-09,1346.49750573
2022-10-10,1347.20304272
2022-10-11,1347.77985326
2022-10-12,1348.22913852
2022-10-13,1348.91097158
2022-10-14,1349.58507599
2022-10-15,1350.42491534
2022-10-16,1351.18704677
2022-10-17,1350.91210803
2022-10-18,1348.95747576
2022-10-19,1349.47409488
2022-10-20,1350.21730867
2022-10-21,1350.93079367
2022-10-22,1351.1754149
2022-10-23,1351.95862226
2022-10-24,1352.66775883
2022-10-25,1352.9642297
2022-10-26,1352.9004197
2022-10-27,1353.19087274
2022-10-28,1353.88107712
2022-10-29,1354.63670454
2022-10-30,1355.41881404
2022-10-31,1356.01320494
2022-11-01,1356.59353464
2022-11-02,1356.58049644
2022-11-03,1357.08662645
2022-11-04,1356.03503432
2022-11-05,1356.49314482
2022-11-06,1356.95790539
2022-11-07,1356.8123935
2022-11-08,1357.00978078
2022-11-09,1356.57304214
2022-11-10,1356.62655056
2022-11-11,1355.10570682
2022-11-12,1354.40991625
2022-11-13,1355.13015508
2022-11-14,1355.33625575
2022-11-15,1355.49988644
2022-11-16,1354.62908877
2022-11-17,1354.57734316
2022-11-18,1351.58875769
2022-11-19,1352.30453681
2022-11-20,1352.74970024
2022-11-21,1353.03397449
2022-11-22,1353.08862857
2022-11-23,1349.54885374
2022-11-24,1350.03666109
2022-11-25,1350.66703223
2022-11-26,1351.40657615
2022-11-27,1352.15085151
2022-11-28,1352.57322636
2022-11-29,1353.08173297
2022-11-30,1353.63438638
2022-12-01,1353.84640136
2022-12-02,1354.30630949
2022-12-03,1355.10649448
2022-12-04,1355.74670791
2022-12-05,1355.81035283
2022-12-06,1356.34816516
2022-12-07,1356.99630075
2022-12-08,1357.60966237
2022-12-09,1357.93301361
2022-12-10,1358.63789102
2022-12-11,1359.32854638
2022-12-12,1359.95991731
2022-12-13,1360.31184045
2022-12-14,1360.56438005
2022-12-15,1361.22890685
2022-12-16,1361.74779411
2022-12-17,1362.37200491
2022-12-18,1363.10136561
2022-12-19,1363.29983584
2022-12-20,1364.02332421
2022-12-21,1364.58792563
2022-12-22,1365.18402166
2022-12-23,1365.64363517
2022-12-24,1366.40185062
2022-12-25,1367.01945862
2022-12-26,1367.81878819
2022-12-27,1368.5105245
2022-12-28,1368.51323195
2022-12-29,1368.76513516
2022-12-30,1369.1095692
2022-12-31,1368.99927222
2023-01-01,1369.72062602
2023-01-02,1370.38921921
2023-01-03,1370.88804795
2023-01-04,1371.39344491
2023-01-05,1370.7260313
2023-01-06,1371.07756868
2023-01-07,1371.58743828
2023-01-08,1372.29337709
2023-01-09,1372.92987474
2023-01-10,1373.2255881
2023-01-11,1373.60442172
2023-01-12,1374.11741674
2023-01-13,1374.62308836
2023-01-14,1375.28372567
2023-01-15,1375.92564508
2023-01-16,1376.00718398
