date,NVT Ratio
2023-05-01,23.41493184
2023-05-02,29.13191192
2023-05-03,20.71786984
2023-05-04,23.01314484
2023-05-05,23.75837997
2023-05-06,21.85033895
2023-05-07,18.61400667
2023-05-08,24.05862164
2023-05-09,26.02402914
2023-05-10,22.66450317
2023-05-11,22.47267985
2023-05-12,20.3972197
2023-05-13,36.69368658
2023-05-14,37.24189754
2023-05-15,26.81198444
2023-05-16,21.90504705
2023-05-17,23.5722424
2023-05-18,23.00380698
2023-05-19,26.71667968
2023-05-20,39.96750641
2023-05-21,36.178575
2023-05-22,23.19528424
2023-05-23,20.44414934
2023-05-24,19.36538409
2023-05-25,22.99863345
2023-05-26,27.04692799
2023-05-27,36.04036862
2023-05-28,31.6179017
2023-05-29,21.93957081
2023-05-30,19.10677371
2023-05-31,13.95884465
2023-06-01,17.57339329
2023-06-02,15.56784843
2023-06-03,23.92979948
2023-06-04,20.13764738
2023-06-05,12.31896213
2023-06-06,14.99335057
2023-06-07,19.09625747
2023-06-08,18.37013979
2023-06-09,17.3258674
2023-06-10,18.84202095
2023-06-11,19.0231486
2023-06-12,16.72894905
2023-06-13,19.35396858
2023-06-14,19.7543005
2023-06-15,21.23180146
2023-06-16,20.01620844
2023-06-17,28.71407809
2023-06-18,25.54833121
2023-06-19,20.53587764
2023-06-20,18.98113507
2023-06-21,16.2900489
2023-06-22,16.47874762
2023-06-23,18.5684708
2023-06-24,26.58893319
2023-06-25,25.39092686
2023-06-26,18.62430388
2023-06-27,19.74108795
2023-06-28,21.08307689
2023-06-29,17.0429944
2023-06-30,16.93504801
2023-07-01,25.52942723
2023-07-02,34.0079875
2023-07-03,21.31622042
2023-07-04,22.21563557
2023-07-05,22.59770186
2023-07-06,20.49642497
2023-07-07,20.72135234
2023-07-08,27.47668172
2023-07-09,25.62852416
2023-07-10,21.35435084
2023-07-11,23.65534889
2023-07-12,20.53577097
2023-07-13,20.50622171
2023-07-14,20.10693307
2023-07-15,28.52945787
2023-07-16,28.25160514
2023-07-17,22.56036062
2023-07-18,17.52577
2023-07-19,21.84184924
2023-07-20,22.25908853
2023-07-21,26.16703451
2023-07-22,36.84657635
2023-07-23,36.60388231
2023-07-24,26.54778052
2023-07-25,28.17741807
2023-07-26,27.85398492
2023-07-27,26.20669105
2023-07-28,24.79409173
2023-07-29,36.34998591
2023-07-30,31.09439477
2023-07-31,24.31967416
2023-08-01,26.35040682
2023-08-02,28.0368552
2023-08-03,28.19662951
2023-08-04,29.43354945
2023-08-05,33.75067197
2023-08-06,38.52804425
2023-08-07,21.86483344
2023-08-08,21.86500058
2023-08-09,22.19083796
2023-08-10,20.62775318
2023-08-11,23.78919786
2023-08-12,26.42662191
2023-08-13,31.12195031
2023-08-14,22.70805407
2023-08-15,24.3255371
2023-08-16,21.06810885
2023-08-17,15.13055942
2023-08-18,19.14795504
2023-08-19,29.45005591
2023-08-20,32.36372036
2023-08-21,19.18254557
2023-08-22,18.55186175
2023-08-23,18.49214095
2023-08-24,22.76071632
2023-08-25,24.9398133
2023-08-26,33.83947212
2023-08-27,24.76468121
2023-08-28,21.54278412
2023-08-29,20.17926236
2023-08-30,19.52714374
2023-08-31,22.98383707
2023-09-01,20.93840321
2023-09-02,32.19502171
2023-09-03,40.31157736
2023-09-04,30.05775349
2023-09-05,27.48646388
2023-09-06,28.02143491
2023-09-07,28.45184306
2023-09-08,30.09975825
2023-09-09,35.39199333
2023-09-10,30.61282937
2023-09-11,26.19116356
2023-09-12,23.75285045
2023-09-13,29.0578494
2023-09-14,25.52317529
2023-09-15,22.71003885
2023-09-16,30.19023401
2023-09-17,33.69398564
2023-09-18,24.66841395
2023-09-19,22.88215349
2023-09-20,20.86635608
2023-09-21,27.13469638
2023-09-22,30.40603886
2023-09-23,41.11195374
2023-09-24,39.89526078
2023-09-25,23.9682538
2023-09-26,29.39874128
2023-09-27,25.64603914
2023-09-28,24.36608272
2023-09-29,21.89660102
2023-09-30,29.8574626
2023-10-01,36.25619954
2023-10-02,17.28447624
2023-10-03,23.22277451
2023-10-04,20.06096746
2023-10-05,18.00250646
2023-10-06,18.5572363
2023-10-07,24.18308918
2023-10-08,30.85428166
2023-10-09,26.03225835
2023-10-10,23.36483072
2023-10-11,22.20922185
2023-10-12,25.66840766
2023-10-13,30.16081006
2023-10-14,26.95928105
2023-10-15,37.81330216
2023-10-16,20.2995326
2023-10-17,22.44410846
2023-10-18,23.62184946
2023-10-19,22.80938534
2023-10-20,19.19256611
2023-10-21,30.86891556
2023-10-22,30.82166029
2023-10-23,18.23162248
2023-10-24,13.42010611
2023-10-25,18.80491646
2023-10-26,20.92099236
2023-10-27,22.51783521
2023-10-28,31.34162659
2023-10-29,31.15344192
2023-10-30,20.14907281
2023-10-31,24.78582858
2023-11-01,23.79977247
2023-11-02,23.14260123
2023-11-03,23.26106839
2023-11-04,31.75912617
2023-11-05,35.66006368
2023-11-06,25.1274707
2023-11-07,24.9380312
2023-11-08,22.89256242
2023-11-09,17.83547777
2023-11-10,23.43637343
2023-11-11,28.31743699
2023-11-12,31.80638067
2023-11-13,24.55989634
2023-11-14,20.40512667
2023-11-15,24.63715412
2023-11-16,21.99934152
