date,Realized Price
2022-01-07,24346.13686119
2022-01-08,24335.25175995
2022-01-09,24330.87797847
2022-01-10,24315.98842437
2022-01-11,24307.49546614
2022-01-12,24324.38659836
2022-01-13,24314.24148184
2022-01-14,24309.6826696
2022-01-15,24314.08440542
2022-01-16,24315.54756195
2022-01-17,24292.11450698
2022-01-18,24279.26898499
2022-01-19,24248.73058982
2022-01-20,24238.03840974
2022-01-21,24106.23153435
2022-01-22,24055.13768942
2022-01-23,24046.43537205
2022-01-24,23998.36183619
2022-01-25,23996.35400612
2022-01-26,23988.20735567
2022-01-27,23962.33118277
2022-01-28,23933.08465589
2022-01-29,23892.16309751
2022-01-30,23871.90267638
2022-01-31,23862.49842265
2022-02-01,23992.95297308
2022-02-02,23977.77566637
2022-02-03,23960.14243546
2022-02-04,23993.64735368
2022-02-05,24012.53077736
2022-02-06,24015.32485993
2022-02-07,24056.98486092
2022-02-08,24077.42495471
2022-02-09,24092.07692385
2022-02-10,24116.72748727
2022-02-11,24124.09740577
2022-02-12,24133.09134781
2022-02-13,24135.60907817
2022-02-14,24133.43564783
2022-02-15,24161.84657856
2022-02-16,24172.45015556
2022-02-17,24155.69258153
2022-02-18,24135.84516665
2022-02-19,24132.44242977
2022-02-20,24116.0399489
2022-02-21,24100.06025904
2022-02-22,24084.40940471
2022-02-23,24094.71500418
2022-02-24,24057.77338647
2022-02-25,24055.2913687
2022-02-26,24051.75409305
2022-02-27,24051.84195319
2022-02-28,24109.2373585
2022-03-01,24141.70014773
2022-03-02,24157.16069418
2022-03-03,24176.56851417
2022-03-04,24151.03395187
2022-03-05,24145.52360518
2022-03-06,24142.78407349
2022-03-07,24134.44056341
2022-03-08,24137.28409448
2022-03-09,24155.98586786
2022-03-10,24123.91148429
2022-03-11,24144.73342354
2022-03-12,24148.08792368
2022-03-13,24145.02205482
2022-03-14,24145.80085336
2022-03-15,24138.75855187
2022-03-16,24162.67485562
2022-03-17,24152.71698032
2022-03-18,24163.71456456
2022-03-19,24173.64747983
2022-03-20,24175.02577238
2022-03-21,24175.99656885
2022-03-22,24203.40559804
2022-03-23,24211.07902071
2022-03-24,24238.7466379
2022-03-25,24361.16048621
2022-03-26,24366.95900087
2022-03-27,24387.59340702
2022-03-28,24471.65240197
2022-03-29,24520.83919583
2022-03-30,24538.10933855
2022-03-31,24534.9667986
2022-04-01,24555.71403644
2022-04-02,24560.16735154
2022-04-03,24568.02741604
2022-04-04,24578.59915904
2022-04-05,24587.9187884
2022-04-06,24560.41096603
2022-04-07,24548.81564433
2022-04-08,24541.34809085
2022-04-09,24538.3855577
2022-04-10,24539.03427987
2022-04-11,24501.64579657
2022-04-12,24524.0182165
2022-04-13,24529.63139474
2022-04-14,24549.0167152
2022-04-15,24550.87283088
2022-04-16,24548.69444883
2022-04-17,24547.66609499
2022-04-18,24541.99943361
2022-04-19,24551.45640043
2022-04-20,24559.07572333
2022-04-21,24612.03022142
2022-04-22,24588.44159224
2022-04-23,24585.5905354
2022-04-24,24582.23483256
2022-04-25,24569.39108488
2022-04-26,24541.72064458
2022-04-27,24538.87324728
2022-04-28,24538.71399547
2022-04-29,24519.61919001
2022-04-30,24511.87164438
2022-05-01,24499.65425418
2022-05-02,24467.52491982
2022-05-03,24435.44096514
2022-05-04,24452.94305296
2022-05-05,24416.99121673
2022-05-06,24391.08883851
2022-05-07,24379.7672879
2022-05-08,24354.26081493
2022-05-09,24223.0421329
2022-05-10,24161.82712794
2022-05-11,24028.65096314
2022-05-12,23947.84612014
2022-05-13,23912.43799453
2022-05-14,23941.15025691
2022-05-15,23938.99726192
2022-05-16,23915.95243452
2022-05-17,23897.2388399
2022-05-18,23866.05318578
2022-05-19,23838.05879254
2022-05-20,23806.96825139
2022-05-21,23801.52103863
2022-05-22,23801.3937494
2022-05-23,23780.17046097
2022-05-24,23767.07294695
2022-05-25,23760.66290366
2022-05-26,23737.55588081
2022-05-27,23692.68727075
2022-05-28,23690.58999261
2022-05-29,23690.05080479
2022-05-30,23698.3930705
2022-05-31,23716.51864965
2022-06-01,23684.6700823
2022-06-02,23629.14260182
2022-06-03,23608.0166195
2022-06-04,23586.11582972
2022-06-05,23579.67223895
2022-06-06,23571.86766236
2022-06-07,23533.69687272
2022-06-08,23523.58310231
2022-06-09,23493.11920951
2022-06-10,23471.89313596
2022-06-11,23445.72415466
2022-06-12,23424.10373027
2022-06-13,23200.61053507
2022-06-14,23025.48010956
2022-06-15,22894.4504668
2022-06-16,22810.0884183
2022-06-17,22735.20427827
2022-06-18,22623.79642534
2022-06-19,22614.39965143
2022-06-20,22591.84134535
2022-06-21,22556.71062865
2022-06-22,22510.73455877
2022-06-23,22499.094377
2022-06-24,22477.14611833
2022-06-25,22482.02044488
2022-06-26,22478.20851076
2022-06-27,22449.92082161
2022-06-28,22428.88480922
2022-06-29,22403.23218346
2022-06-30,22318.44812929
2022-07-01,22288.18346578
2022-07-02,22274.12843567
2022-07-03,22259.62103937
2022-07-04,22256.61948578
2022-07-05,22246.09183148
2022-07-06,22201.79229257
2022-07-07,22197.54338403
2022-07-08,22190.2655558
2022-07-09,22158.01646686
2022-07-10,22151.23608819
2022-07-11,22080.05042249
2022-07-12,22062.77376428
2022-07-13,22055.19651249
2022-07-14,22034.71637521
2022-07-15,21953.01605101
2022-07-16,21952.5384479
2022-07-17,21949.89480726
2022-07-18,21951.19525081
2022-07-19,21921.78769644
2022-07-20,21934.57695172
2022-07-21,21892.30268863
2022-07-22,21859.39972936
2022-07-23,21844.18051225
2022-07-24,21839.65165607
2022-07-25,21814.12274717
2022-07-26,21790.84193192
2022-07-27,21796.82512127
2022-07-28,21809.46998426
2022-07-29,21810.5529336
2022-07-30,21811.80447243
2022-07-31,21805.85260896
2022-08-01,21804.06870644
2022-08-02,21795.22842209
2022-08-03,21792.40801247
2022-08-04,21773.39256413
2022-08-05,21772.79155649
2022-08-06,21773.30973445
2022-08-07,21772.78176527
2022-08-08,21776.77452129
2022-08-09,21748.50109258
2022-08-10,21761.62238041
2022-08-11,21761.35873901
2022-08-12,21764.3718876
2022-08-13,21765.30495961
2022-08-14,21763.60785793
2022-08-15,21757.26646716
2022-08-16,21754.9876862
2022-08-17,21743.57669026
2022-08-18,21741.05023721
2022-08-19,21700.54902333
2022-08-20,21694.28856651
2022-08-21,21691.82496987
2022-08-22,21677.07419995
2022-08-23,21669.97855837
2022-08-24,21662.26386853
2022-08-25,21653.01412577
2022-08-26,21640.04454326
2022-08-27,21623.44456369
2022-08-28,21622.62157381
2022-08-29,21619.65104059
2022-08-30,21592.90547314
2022-08-31,21583.99116461
2022-09-01,21567.97035941
2022-09-02,21552.90965379
2022-09-03,21549.02233552
2022-09-04,21550.62766685
2022-09-05,21544.27617379
2022-09-06,21517.9540646
2022-09-07,21503.44303072
2022-09-08,21491.80775858
2022-09-09,21502.8088575
2022-09-10,21503.97353273
2022-09-11,21500.31743084
2022-09-12,21503.69130298
2022-09-13,21449.36431451
2022-09-14,21424.17520166
2022-09-15,21397.47948084
2022-09-16,21388.73960803
2022-09-17,21385.15636564
2022-09-18,21379.0771137
2022-09-19,21357.90399454
2022-09-20,21340.74766809
2022-09-21,21326.93727384
2022-09-22,21320.42029067
2022-09-23,21312.64189616
2022-09-24,21309.87783635
2022-09-25,21304.58407825
2022-09-26,21300.18418562
2022-09-27,21290.79234626
2022-09-28,21272.78802304
2022-09-29,21263.84358972
2022-09-30,21250.64515024
2022-10-01,21246.74835724
2022-10-02,21242.69775168
2022-10-03,21237.99960705
2022-10-04,21234.7928782
2022-10-05,21228.95421976
2022-10-06,21223.70293266
2022-10-07,21218.5796328
2022-10-08,21204.69093492
2022-10-09,21202.6930608
2022-10-10,21193.31114144
2022-10-11,21184.73921955
2022-10-12,21161.17943888
2022-10-13,21153.72731332
2022-10-14,21149.10961497
2022-10-15,21145.72889204
2022-10-16,21142.31482051
2022-10-17,21123.35386317
2022-10-18,21136.19564507
2022-10-19,21125.09039959
2022-10-20,21118.12713405
2022-10-21,21112.3694371
2022-10-22,21098.71698557
2022-10-23,21096.96527558
2022-10-24,21093.31923333
2022-10-25,21098.30944861
2022-10-26,21107.54536991
2022-10-27,21108.8196686
2022-10-28,21105.23060088
2022-10-29,21106.18032574
2022-10-30,21101.31378126
2022-10-31,21095.59867722
2022-11-01,21089.78358595
2022-11-02,21084.67743676
2022-11-03,21081.22235874
2022-11-04,21106.577966
2022-11-05,21107.97635329
2022-11-06,21099.53644571
2022-11-07,21044.53995562
