date,Fees USD (Total)
2019-11-17,179482.66093776
2019-11-18,233132.10808397
2019-11-19,279128.86882121
2019-11-20,221802.13203628
2019-11-21,288428.95172984
2019-11-22,291936.70990129
2019-11-23,155669.18864081
2019-11-24,121300.38419974
2019-11-25,226043.96234049
2019-11-26,284467.8855322
2019-11-27,246094.96144993
2019-11-28,196677.89014114
2019-11-29,249743.03061327
2019-11-30,208316.22115719
2019-12-01,160988.89724435
2019-12-02,190569.75924463
2019-12-03,186258.43649261
2019-12-04,215930.11647667
2019-12-05,170570.44566278
2019-12-06,185301.76175126
2019-12-07,135827.21084508
2019-12-08,108549.86204865
2019-12-09,162635.97262109
2019-12-10,169512.97742016
2019-12-11,177470.7578959
2019-12-12,161959.80389445
2019-12-13,162564.57979646
2019-12-14,110120.96992052
2019-12-15,145161.62780162
2019-12-16,156266.29075408
2019-12-17,155504.5097705
2019-12-18,186671.50509801
2019-12-19,205221.33491602
2019-12-20,182237.79758101
2019-12-21,118679.57769476
2019-12-22,92436.71225581
2019-12-23,141678.74214164
2019-12-24,128729.86927834
2019-12-25,94756.0537926
2019-12-26,136613.0176856
2019-12-27,123338.94665955
2019-12-28,100875.78546149
2019-12-29,92730.71964952
2019-12-30,116277.31113253
2019-12-31,107175.5930889
2020-01-01,71927.78174332
2020-01-02,97770.91790574
2020-01-03,118764.12947465
2020-01-04,90215.56287963
2020-01-05,88371.68820026
2020-01-06,154713.84733977
2020-01-07,202495.3034929
2020-01-08,253254.59306014
2020-01-09,234948.15073452
2020-01-10,256439.00590649
2020-01-11,149254.32672717
2020-01-12,117984.48002738
2020-01-13,142924.39852184
2020-01-14,225083.05648325
2020-01-15,274910.01304122
2020-01-16,207145.79308318
2020-01-17,215428.58465335
2020-01-18,158157.43190824
2020-01-19,145890.39890669
2020-01-20,153412.7659226
2020-01-21,177785.09996259
2020-01-22,188158.84851704
2020-01-23,177407.31838535
2020-01-24,135326.03702635
2020-01-25,94963.15053902
2020-01-26,89486.46604446
2020-01-27,173641.9502534
2020-01-28,208012.75957473
2020-01-29,190749.54555239
2020-01-30,184646.2322098
2020-01-31,210446.26045962
2020-02-01,163967.07629808
2020-02-02,159169.38204313
2020-02-03,200967.62425431
2020-02-04,218641.64459075
2020-02-05,240028.43270917
2020-02-06,263511.87339301
2020-02-07,308526.41086267
2020-02-08,209401.23782697
2020-02-09,199896.77873139
2020-02-10,272809.52257151
2020-02-11,346768.07957659
2020-02-12,386443.72311796
2020-02-13,364355.03115325
2020-02-14,330289.58077866
2020-02-15,289488.23542461
2020-02-16,213566.76018604
2020-02-17,245355.48425656
2020-02-18,298289.67361224
2020-02-19,317287.33153963
