date,open,high,low,close,Volume,Open Interest,Open Interest (Open),Open Interest (High,Open Interest (Low),Open Interest (Close)
2019-04-07,0.4,0.6,0.4,0.6,0,0,,,,
2019-04-14,0.5,0.5,0.0,0.1,0,0,,,,
2019-04-21,0.2,0.2,-0.2,0.1,167,0,,,,
2019-04-28,0.0,0.1,-0.6,-0.4,120,0,,,,
2019-05-05,-0.6,0.0,-0.6,-0.3,0,0,,,,
2019-05-12,-0.3,-0.3,-0.6,-0.6,0,0,,,,
2019-05-19,-0.5,-0.5,-0.9,-0.8,230,0,,,,
2019-05-26,-0.7,-0.1,-0.7,-0.1,0,0,,,,
2019-06-02,-0.7,0.3,-0.8,0.3,80,0,,,,
2019-06-09,0.6,0.6,-0.1,0.3,0,0,,,,
2019-06-16,0.1,0.9,0.1,0.4,0,0,,,,
2019-06-23,0.7,1.1,0.7,0.8,0,0,,,,
2019-06-30,0.5,0.5,0.2,0.5,0,0,,,,
2019-07-07,0.8,0.8,0.2,0.3,0,0,,,,
2019-07-14,-0.1,0.2,-0.1,0.2,0,0,,,,
2019-07-21,0.0,0.0,-0.3,-0.2,0,0,,,,
2019-07-28,-0.3,0.8,-0.6,-0.6,0,0,,,,
2019-08-04,-0.3,-0.3,-0.7,-0.3,100,0,,,,
2019-08-11,-0.5,0.7,-0.8,-0.4,0,0,,,,
2019-08-18,-0.3,-0.3,-1.0,-1.0,0,0,,,,
2019-08-25,-1.3,-0.7,-1.3,-0.7,0,0,,,,
2019-09-01,0.0,0.1,-0.2,-0.1,0,0,,,,
2019-09-08,-0.2,0.0,-0.5,0.0,0,0,,,,
2019-09-15,0.2,0.6,0.2,0.4,0,0,,,,
2019-09-22,0.4,0.5,0.1,0.1,0,0,,,,
2019-09-29,0.5,0.5,-0.4,0.0,0,0,,,,
2019-10-06,-0.1,-0.1,-0.5,-0.4,0,0,,,,
2019-10-13,-0.3,-0.1,-0.4,-0.1,0,0,,,,
2019-10-20,-0.4,-0.4,-1.2,-0.5,110,0,,,,
2019-10-27,-0.4,-0.4,-1.3,-1.3,0,0,,,,
2019-11-03,-1.4,-1.3,-1.6,-1.5,0,0,,,,
2019-11-10,-1.3,-0.9,-1.3,-1.3,70,0,,,,
2019-11-17,-0.9,-0.9,-1.3,-1.3,0,0,,,,
2019-11-24,-1.2,0.3,-1.2,0.3,0,0,,,,
2019-12-01,0.4,0.4,0.0,0.1,0,0,,,,
2019-12-08,0.4,0.4,0.1,0.3,0,0,,,,
2019-12-15,0.0,0.0,0.0,0.0,0,0,,,,
2021-05-02,57000.0,59280.0,52870.0,57760.0,75372,3153,,,,
2021-05-09,58110.0,59885.0,46865.0,50190.0,136571,13092,,,,
2021-05-16,45375.0,46625.0,30205.0,36085.0,230397,30699,,,,
2021-05-23,34485.0,40930.0,33690.0,35825.0,98623,10555,,,,
2021-05-30,35985.0,39550.0,34230.0,36955.0,59718,8264,,,,
2021-06-06,36495.0,38460.0,30935.0,37325.0,104783,11669,,,,
2021-06-13,38800.0,41355.0,35070.0,35285.0,72996,12869,,,,
2021-06-20,35680.0,35785.0,28810.0,32200.0,104927,12245,,,,
2021-06-27,32750.0,36685.0,32625.0,33285.0,64492,14177,,,,
2021-07-04,34250.0,35890.0,32075.0,33455.0,66877,14194,,,,
2021-07-11,34250.0,34840.0,30965.0,31925.0,66443,16041,,,,
2021-07-18,31700.0,32915.0,29190.0,32270.0,65936,10668,,,,
2021-07-25,34265.0,41985.0,34265.0,39955.0,88069,8634,,,,
2021-08-01,41190.0,43445.0,37280.0,42970.0,61998,11323,,,,
2021-08-08,44240.0,47995.0,42885.0,46505.0,69209,13651,,,,
2021-08-15,46980.0,49180.0,43930.0,48730.0,62020,11193,,,,
2021-08-22,48825.0,50580.0,46340.0,48455.0,41403,10609,,,,
2021-08-29,49010.0,51250.0,46550.0,50710.0,54675,16505,,,,
2021-09-05,51680.0,53120.0,43920.0,45675.0,78995,16750,,,,
2021-09-12,45355.0,48705.0,43335.0,47615.0,33783,3599,,,,
2021-09-19,47740.0,47740.0,40205.0,42520.0,64436,21106,,,,
2021-09-26,43540.0,48685.0,40715.0,48390.0,108821,26452,,,,
2021-10-03,48070.0,56775.0,47175.0,55180.0,133954,38778,,,,
2021-10-10,55085.0,63500.0,54380.0,62075.0,94108,48515,,,,
2021-10-17,61000.0,67665.0,60115.0,61080.0,145702,50838,,,,
2021-10-24,61000.0,63855.0,57915.0,63010.0,82262,12788,,,,
2021-10-31,62160.0,64665.0,59680.0,61380.0,102357,16869,,,,
2021-11-07,62750.0,69360.0,62340.0,64235.0,142392,22111,,,,
2021-11-14,64450.0,66550.0,55600.0,57900.0,142814,26139,,,,
2021-11-21,59010.0,59890.0,53580.0,54430.0,95970,9242,,,,
2021-11-28,56050.0,59655.0,51580.0,53545.0,126069,26371,,,,
2021-12-05,49200.0,52210.0,47210.0,48490.0,95258,34179,,,,
2021-12-12,50155.0,50480.0,45700.0,46430.0,24179,6126,,,,
2021-12-19,47635.0,51615.0,45800.0,51240.0,3676,6374,,,,
2021-12-26,51005.0,52270.0,45675.0,45815.0,27585,11578,,,,
2022-01-02,47180.0,47665.0,40500.0,41870.0,89584,23986,,,,
2022-01-09,42100.0,44460.0,39465.0,43120.0,81769,27302,,,,
2022-01-16,43325.0,43525.0,36100.0,38180.0,75701,26299,,,,
2022-01-23,35605.0,38900.0,32845.0,37790.0,96692,7709,,,,
2022-01-30,37885.0,40970.0,36185.0,40640.0,79735,9370,,,,
2022-02-06,41135.0,45900.0,41135.0,42390.0,90629,9991,,,,
2022-02-13,42465.0,44820.0,39465.0,39945.0,82780,8959,,,,
2022-02-20,38820.0,39765.0,34335.0,39115.0,77306,11192,,,,
2022-02-27,37920.0,45470.0,37165.0,39545.0,108304,11418,,,,
2022-03-06,39010.0,42715.0,37185.0,38325.0,92141,10647,,,,
2022-03-13,38775.0,42520.0,37495.0,42130.0,52236,2436,,,,
2022-03-20,41565.0,45420.0,40640.0,44655.0,29127,9854,,,,
2022-03-27,46250.0,48475.0,44305.0,46550.0,63417,11279,,,,
2022-04-03,46875.0,47640.0,42430.0,42715.0,62037,12447,,,,
2022-04-10,42900.0,43000.0,39195.0,39825.0,59138,18883,,,,
