date,open,high,low,close,Volume,Open Interest,Open Interest (Open),Open Interest (High,Open Interest (Low),Open Interest (Close)
2022-10-30,1600.5,1681.5,1503.0,1650.0,65455,15828,,,,
2022-11-06,1613.0,1613.0,1034.5,1209.5,194876,20926,,,,
2022-11-13,1173.5,1272.5,1132.5,1201.0,80846,41259,,,,
2022-11-20,1152.5,1188.0,1073.0,1165.0,43144,17678,,,,
2022-11-27,1176.0,1302.0,1125.5,1290.5,51982,17885,,,,
2022-12-04,1273.5,1305.0,1210.5,1258.0,39112,20962,,,,
2022-12-11,1260.0,1348.0,1178.5,1199.0,56920,20364,,,,
2022-12-18,1181.0,1235.0,1144.0,1217.5,31982,19005,,,,
2022-12-26,1220.0,1231.0,1164.5,1189.0,23986,8963,,,,
2023-01-02,1197.0,1277.0,1196.5,1265.0,33570,12509,,,,
2023-01-08,1267.0,1464.0,1267.0,1430.0,41085,9853,,,,
2023-01-15,1526.0,1658.0,1505.0,1648.5,37888,12046,,,,
2023-01-22,1628.0,1652.0,1519.0,1608.5,45901,8455,,,,
2023-01-29,1638.0,1728.5,1541.0,1666.0,63730,10425,,,,
2023-02-05,1647.0,1706.0,1491.5,1530.5,54112,10696,,,,
2023-02-12,1517.5,1748.0,1469.0,1715.5,51438,10514,,,,
2023-02-19,1689.0,1723.0,1582.5,1620.0,30004,10051,,,,
2023-02-26,1634.0,1688.5,1538.0,1560.5,23700,10429,,,,
2023-03-05,1562.0,1585.5,1368.5,1417.0,30709,12074,,,,
2023-03-12,1450.0,1788.0,1450.0,1753.0,52681,19841,,,,
2023-03-19,1800.0,1868.0,1717.5,1768.5,39487,19826,,,,
2023-03-26,1839.0,1872.5,1688.5,1847.0,25513,6081,,,,
2023-04-02,1835.0,1954.0,1773.0,1863.0,54659,8210,,,,
2023-04-09,1894.0,2149.0,1851.5,2100.5,83755,9248,,,,
2023-04-16,2128.0,2145.0,1826.0,1844.5,58742,10054,,,,
2023-04-23,1898.5,1962.0,1784.5,1901.5,40999,8054,,,,
2023-04-30,1916.0,2011.5,1810.0,2004.5,38058,9864,,,,
2023-05-07,1980.0,1980.0,1740.5,1792.0,39087,8810,,,,
2023-05-14,1789.0,1852.5,1773.5,1814.0,22613,9779,,,,
2023-05-21,1829.0,1879.5,1763.5,1843.5,30410,9042,,,,
2023-05-28,1851.0,1938.0,1845.5,1917.0,23276,11232,,,,
2023-06-04,1918.0,1919.0,1784.0,1836.0,28620,11261,,,,
2023-06-11,1827.5,1827.5,1623.5,1723.5,25097,11333,,,,
2023-06-18,1728.0,1950.5,1700.5,1914.0,32597,13048,,,,
2023-06-25,1895.5,1970.0,1816.5,1950.5,40926,9448,,,,
2023-07-02,1942.5,2001.0,1839.0,1875.0,32039,10900,,,,
2023-07-09,1882.5,2046.5,1860.0,1922.5,46211,12393,,,,
2023-07-16,1938.5,1949.5,1878.5,1896.0,15534,11661,,,,
2023-07-23,1880.0,1903.5,1831.0,1886.0,16469,7990,,,,
2023-07-30,1875.0,1889.0,1816.0,1837.0,22849,8747,,,,
2023-08-06,1832.0,1883.5,1803.0,1848.0,11826,0,,,,
2023-08-13,1854.0,1861.0,1608.5,1656.0,28267,7714,,,,
2023-08-20,1672.5,1701.0,1601.0,1648.5,15400,7472,,,,
2023-08-27,1646.0,1754.0,1601.0,1619.0,27261,9051,,,,
2023-09-03,1640.5,1668.5,1606.0,1634.5,12448,8018,,,,
2023-09-10,1615.5,1645.0,1529.0,1621.5,18061,8317,,,,
2023-09-17,1612.5,1671.0,1565.5,1592.5,13536,7864,,,,
2023-09-24,1596.0,1696.0,1561.0,1674.5,20600,7707,,,,
2023-10-01,1680.0,1762.5,1609.0,1651.0,37397,7469,,,,
2023-10-08,1629.5,1636.0,1518.5,1543.5,29129,12080,,,,
2023-10-15,1561.5,1647.5,1540.5,1610.0,41487,16005,,,,
2023-10-22,1631.5,1893.0,1631.5,1790.0,67830,12091,,,,
2023-10-29,1812.5,1906.0,1790.0,1833.0,21905,15260,,,,
2023-11-05,1864.0,2153.0,1863.0,2108.5,54179,15619,,,,
2023-11-12,2123.5,2131.0,1914.0,1949.0,51542,15051,,,,
2023-11-19,1977.5,2185.0,1955.0,2152.5,43532,10850,,,,
2023-11-26,2109.5,2146.0,2009.5,2118.0,34567,16067,,,,
2023-12-03,2204.0,2419.0,2204.0,2389.5,76849,20994,,,,
2023-12-10,2395.0,2395.0,2127.5,2261.0,64473,20692,,,,
2023-12-17,2247.5,2352.5,2125.0,2322.5,66889,20485,,,,
2023-12-25,2309.0,2494.0,2182.5,2337.5,55286,13168,,,,
2024-01-01,2330.0,2479.0,2092.5,2268.5,79814,16301,,,,
2024-01-07,2235.0,2731.5,2187.0,2572.5,189622,28632,,,,
2024-01-14,2525.5,2624.0,2416.0,2487.0,67457,30304,,,,
2024-01-21,2470.0,2470.0,2165.5,2273.0,55076,9924,,,,
2024-01-28,2270.0,2405.0,2249.0,2307.5,25059,11454,,,,
2024-02-04,2300.0,2537.5,2271.0,2504.0,60713,15598,,,,
